Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1971,140,298,28,80.40000000000003,NA,NA,NA,0.06091370558375635,71,893,227,178,324,618,49,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1972,177,268,50,90.80000000000001,6,231.99477063148433,43,0.04864864864864865,68,848,200,128,148,422,72,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1973,130,269,45,66.20000000000002,5,157.99509831731768,35,0.06177606177606178,37,950,232,153,464.0000000000001,990,79,NA,105,NA,NA,2,NA,19550,6415,14700,NA,2,NA
1974,170,316,53,131.39999999999998,4,94.9991433999906,8,0.05362776025236593,93,1180,223,190,358.6,1085,33,NA,152,NA,NA,1,NA,19550,6415,14700,NA,1,NA
1975,67,303,38,59.79999999999999,10,155.0031256487707,28,0.05309734513274336,69,1780,234,114,462.2,1145,120,NA,175,NA,NA,1,NA,19550,6415,14700,NA,1,NA
1976,50,340,12,20,NA,NA,NA,0.09500000000000003,131,174,209,205,62,92,4,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1977,156,282,0,12.5,3,23.993068690920477,4,0.12973352033660585,41,52,241,217,17,28,24,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1978,165,296,33,63.79999999999998,6,147.98671777550487,53,0.05463591135232926,85,4450,211,139,322.2,1070,72,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1979,169,276,36,86.20000000000002,4,142.99503861795523,52,0.05263157894736842,54,1410,222,127,153.4,949,95,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1980,188,287,40.5,66.30000000000001,4,204.9971872019408,20,0.04878048780487805,126,3590,161,82,258.2,1135,79,NA,122,123,NA,8,2,19550,6415,14700,NA,2,2
1981,141,269,13,33,3,69.00230446163496,62,0.06382978723404255,34,272,235,126,140,238.5,109,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1982,142,268,78,207.60000000000002,8,43.99626795769824,12,0.03891483932355867,71,11400,197,153,315.20000000000005,1680,44,138,160.5,117,1,12,2,19550,6415,14700,1,6,2
1983,97,306,86,129.60000000000002,10,1389.9493466569531,25,0.04247104247104247,65,2270,241,197,590.6,2080,44,NA,120,163,NA,16,1,19550,6415,14700,NA,9,1
1984,133,263,47,96.19999999999999,NA,NA,NA,0.04133545310015898,57,897,206,169,599,1020,37,NA,66,NA,NA,5,NA,19550,6415,14700,NA,2,NA
1985,175,278,24,179.19999999999993,3,106.99758277210064,12,0.03995668034655723,85,824,193,163,128,276,30,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1986,264,206,45.5,383.00000000000017,5,57.999565470558935,22,0.05226814843699227,41,6530,165,78,334.5,1145,87,139,158,138,3,9,5,19550,6415,14700,1,3,1
1987,150,257,4.15,22,NA,NA,NA,0.05594679186228482,88,1150,169,65,54,113,104,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1988,210,295,4.9,97.29999999999998,5,31.997873028081166,25,0.07008928571428572,86,251,209,168,36.7,107,41,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1989,211,246,28,83,22,95.99142739060503,45,0.049834574028122414,66,3050,180,41,166,857,139,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1990,212,301,14,26,5,332.0003978941013,24,0.06403688524590165,54,344,247,156,87,221.5,91,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1991,202,289,18.5,49.900000000000006,3,35.997652384712666,57,0.05309139784946236,13,143,276,129,61.2,335,147,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1992,201,250,9.3,43,6,202.9818058302053,26,0.06061997703788749,78,1080,172,47,47.6,491,125,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1993,132,286,20,44.900000000000006,4,90.99907268095376,31,0.06428571428571428,106,5010,180,95,465,1190,85,NA,112,NA,NA,2,NA,19550,6415,14700,NA,1,NA
1994,174,280,5.75,134.40000000000003,8,54.98887274341164,16,0.067816091954023,56,237,224,172,45,152,52,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1995,166,303,36,132,7,18.999580041197788,7,0.05235602094240838,86,6900,217,129,716.6,1820,88,NA,160,161,NA,10,1,19550,6415,14700,NA,5,1
1996,161,265,45,157,3,710.9838052581385,73,0.06553507702037313,31,2270,234,131,574,1100,103,NA,156,NA,NA,1,NA,19550,6415,14700,NA,1,NA
1997,189,268,43,105.80000000000007,4,540.9956542814465,48,0.041666666666666664,147,14500,121,61,594,2280,60,92,90,92,2,14,3,19550,6415,14700,1,5,1
1998,162,308,83,182.9,4,97.99979957344567,11,0.05100334448160535,64,2320,244,153,823.8000000000001,1760,91,NA,149.5,125,NA,5,1,19550,6415,14700,NA,4,1
1999,193,278,53,82.80000000000001,4,133.01234612532568,39,0.047058823529411764,37,756,241,137,627.8,1040,104,NA,131,NA,NA,1,NA,19550,6415,14700,NA,1,NA
2000,195,268,53,79,3,76.9978692361698,28,0.07032832446182109,43,1050,225,120,469.9,839,105,NA,136,NA,NA,3,NA,19550,6415,14700,NA,3,NA
2001,137,268,9.2,21,5,70.99960651615818,11,0.06060606060606061,60,642,208,111,84,339,97,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2002,149,287,9.27,40.24,10,37.302028436133455,32,0.05149324753013681,50,440,237,198,112.7,381,39,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2003,138,292,13.3,31.959999999999997,10,292.9803509219869,39,0.05673563218390805,78,1920,214,144,164.6,317,70,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2004,185,266,12.6,102.79999999999998,8,29.199622016448473,35,0.049586776859504134,85,833,181,117,160.4,299,64,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2005,146,295,34.65,75.75,6,208.99719930546522,20,0.05530642750373692,63,2550,232,147,502.8,1120,85,NA,173,NA,NA,1,NA,19550,6415,14700,NA,1,NA
2006,217,272,68.3,158.4,3,617.9945446261111,62,0.04641025641025641,82,16400,190,115,620,1540,75,138,137.5,138,2,7,3,19550,6415,14700,2,2,2
2007,166,275,20.049999999999997,31.95,3,180.98258557790754,45,0.04625133608184457,66,427,209,86,175,424.5,123,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2008,201,292,13.8,91.2,6,40.99322830725636,21,0.058762238279612286,76,362,216,141,63.6,305,75,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2009,191,274,17.1,69.8,5,123.98943910616373,33,0.06470588235294113,54,2060,220,93,302.20000000000005,541,127,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2010,112,302,17.75,80.84000000000002,5,162.99006624560607,14,0.06684491978609626,57,1240,245,146,241,665,99,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2011,222,301,55.55,107.9,8,889.9254005576901,24,0.06137048192771084,46,1170,255,207,432.2,1260,48,NA,166,NA,NA,7,NA,19550,6415,14700,NA,5,NA
2012,126,285,14.15,28.65,4,106.98566946513142,5,0.05737704918032787,72,2160,213,56,132.5,902,157,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2013,227,257,17.2,25.6,4,54.4007255698136,24,0.05966562173458725,33,156,224,179,130,276,45,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2014,168,257,0.565,15.060000000000002,4,56.77992262254434,52,0.06463878326996195,45,243,212,94,41.77,174.5,118,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2015,181,263,1.64,28.4,8,14.099813296483411,28,0.06382978723404255,128,4960,135,76,41.5,66.65,59,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2016,194,255,24.1,336.70000000000016,4,11.324538455072679,22,0.04858366889540651,45,709,210,132,185.40000000000003,658,78,NA,161.5,NA,NA,2,NA,19550,6415,14700,NA,2,NA
2017,243,269,67.9,255.60000000000014,5,619.9925544921684,16,0.057981841167681875,66,4230,203,120,1276.5000000000002,2575,83,117,111,129,4,19,8,19550,6415,14700,4,7,3
2018,207,253,24.2,95.00000000000001,4,1089.9856992325633,47,0.04771930458669173,60,4150,193,47,184.4,1540,146,NA,172,NA,NA,2,NA,19550,6415,14700,NA,1,NA
2019,130,290,43.75,77.25000000000003,5,189.99769741052253,55,0.05508337816030123,51,2080,239,145,473.6,1780,94,NA,153,NA,NA,6,NA,19550,6415,14700,NA,3,NA
2020,176,283,18.1,42.2,NA,NA,NA,0.04292871139122878,47,515,236,182,98.77000000000001,198,54,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2021,104,279,0,7.409,9,36.499456041641956,46,0.048507462686567235,89,265,190,97,42.94,158,93,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
2022,164,270,30.4,51.77,NA,NA,NA,0.05185185185185185,62,1410,208,191,59.5,272,17,NA,24,NA,NA,1,NA,19550,6415,14700,NA,1,NA
2023,161,273,70.5,138,3,54.499495554478216,33,0.050335570469798654,42,1500,231,163,672.3999999999999,1610,68,91,130,91,1,17,2,19550,6415,14700,1,4,1
