Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1908,162,294,2,46,6,184.9932814600577,53,0.17647058823529413,59,495,235,172,153,335,63,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1909,136,274,18,55,4,69.99947457386276,16,0.11229946524064172,72,1760,202,112,743.7,1390,90,105,112,108.5,1,7,2,19550,6415,14700,1,3,2
1910,199,263,22,72,9,34.000214096857505,4,0.10344827586206896,67,1550,196,152,265,1120,44,NA,120,NA,NA,2,NA,19550,6415,14700,NA,2,NA
1911,160,292,46,77,4,63.012761142941045,12,0.076888341543513955,81,2330,211,115,850,2100,96,121,136,121,2,11,2,19550,6415,14700,1,4,1
1912,154,296,20,95,3,217.96980760767892,41,0.11029411764705882,52,850,244,158,108,286,86,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1913,156,289,5,46,4,191.920877997702,37,0.1111111111111111,64,718,225,141,75,226,84,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1914,179,279,18,85,4,45.97034205199647,44,0.09053708439897698,60,760,219,140,595,1160,79,NA,113,NA,NA,7,NA,19550,6415,14700,NA,5,NA
1915,156,299,14,107,6,57.00053489912588,21,0.09523809523809523,71,3950,228,136,175,950,92,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1916,203,294,51,317.00000000000017,11,63.96044457541354,40,0.07258064516129033,82,1280,212,123,900,1700,89,NA,138,NA,NA,2,NA,19550,6415,14700,NA,2,NA
1917,203,288,29,51,3,181.99677590255482,2,0.0963855421686747,42,805,246,115,675,1000,131,NA,144.5,NA,NA,4,NA,19550,6415,14700,NA,2,NA
1918,199,274,29,65.60000000000014,3,45.00052235692411,38,0.10285714285714286,77,1160,197,72,132.8,805,125,NA,165.5,NA,NA,2,NA,19550,6415,14700,NA,2,NA
1919,233,268,14,80,3,71.99809663908088,16,0.11147660818713451,59,1050,209,102,80,850,107,NA,132,NA,NA,2,NA,19550,6415,14700,NA,1,NA
1920,135,271,7.5,51,3,39.00005801791652,0,0.09018920068027211,38,560,233,98,80,595,135,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1921,154,288,6,29,3,66.99980382469133,13,0.09375,60,675,228,188,295,805,40,NA,109,NA,NA,1,NA,19550,6415,14700,NA,1,NA
1922,132,293,16,83.3000000000001,5,20.902855414227407,28,0.08712797619047619,58,2220,235,159,134.4,950,76,NA,136.5,NA,NA,2,NA,19550,6415,14700,NA,2,NA
1923,132,291,31,42,3,28.95170783485548,5,0.08913676684761022,96,3160,195,136,542.5,765,59,NA,80.5,NA,NA,2,NA,19550,6415,14700,NA,2,NA
1924,228,251,3,190.10000000000008,4,84.9729708726317,7,0.11544117647058824,54,188,197,140,42,76,57,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1925,207,275,26,54,7,171.9949797005556,29,0.07722007722007722,70,2540,205,92,270,1010,113,NA,128,128,NA,1,1,19550,6415,14700,NA,1,1
1926,193,264,6,186.60000000000008,3,44.001378640700594,7,0.07913669064748201,71,2440,193,77,266,400,116,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1927,235,283,63,271,4,39.99927562912404,11,0.09859154929577464,71,1510,212,121,430,1060,91,NA,163.5,NA,NA,2,NA,19550,6415,14700,NA,2,NA
1928,196,251,10,56,4,161.9944674353314,27,0.09166666666666666,69,13400,182,30,313,424,152,NA,176,176,NA,3,1,19550,6415,14700,NA,1,1
1929,158,300,5,51,4,159.99804105842665,45,0.10286050156739812,94,640,206,125,80.4,177,81,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1930,172,278,8.5,30,4,369.97072722677615,71,0.07846153846153847,45,370,233,141,193,430,92,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1931,161,282,0,27,9,197.99112019040896,47,0.14285714285714285,40,51,242,158,38.7,111,84,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1932,188,285,10,33,4,10.997817993513454,25,0.06391489361702127,55,1090,230,153,250.8,712,77,NA,128,NA,NA,1,NA,19550,6415,14700,NA,1,NA
1933,124,302,1.05,19,4,39.007333257590076,62,0.08333333333333333,57,783,245,138,83,340,107,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1934,229,281,14,482,8,227.01119794415294,30,0.07043650793650794,96,330,185,125,70.4,258,60,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1935,182,275,24,53,4,39.00015734960313,32,0.0625,82,11300,193,49,337,633,144,NA,189,NA,NA,1,NA,19550,6415,14700,NA,1,NA
1936,194,285,16,79,7,53.000036616007314,16,0.06666666666666667,83,1740,202,111,295,1270,91,NA,140,144,NA,6,1,19550,6415,14700,NA,4,1
1937,192,284,20.5,216.60000000000008,NA,NA,NA,0.062146892655367235,63,1500,221,108,574.8000000000001,1385,113,NA,149.5,NA,NA,2,NA,19550,6415,14700,NA,2,NA
1938,188,294,57,91,4,76.99211763577968,15,0.0594059405940594,64,2560,230,120,787.5000000000001,1920,110,NA,148,133,NA,2,1,19550,6415,14700,NA,2,1
1939,180,276,12,34,3,101.98888756630481,15,0.09523809523809523,37,185,239,123,119.2,209,116,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1940,180,261,9.5,46.099999999999994,2,37.99959299131934,3,0.05940378222246444,75,16700,186,96,368.5,1055,90,NA,178,182,NA,7,1,19550,6415,14700,NA,3,1
1941,154,289,19,87.40000000000003,8,49.994613517310206,26,0.05580720503928091,61,1290,228,153,473.2,1040,75,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1942,148,297,35.5,264,5,42.99983379631371,25,0.04721030042918455,56,2240,241,164,371,1110,77,NA,123,NA,NA,3,NA,19550,6415,14700,NA,2,NA
1943,243,234,54,247.60000000000008,4,3869.885984669312,48,0.049586776859504134,70,18700,164,85,286.6,1310,79,NA,156,159,NA,8,2,19550,6415,14700,NA,3,1
1944,100,294,3.6,14.100000000000009,9,76.00215486529295,22,0.0625,70,860,224,113,209,483,111,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1945,121,283,12,49,NA,NA,NA,0.06833748443337484,33,797,250,222,141.3,540,28,NA,124,NA,NA,2,NA,19550,6415,14700,NA,1,NA
1946,135,273,20,43.400000000000034,5,575.9745259190721,30,0.04672897196261682,69,1200,204,166,192.5,636,38,NA,82,NA,NA,2,NA,19550,6415,14700,NA,1,NA
1947,287,241,44,168.80000000000024,10,41.00043884103322,3,0.06626506024096386,22,296,219,177,110,268,42,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1948,185,304,29,122.39999999999998,3,82.99201474370953,11,0.06330128205128205,71,1330,233,71,458,1270,162,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1949,174,288,11.5,45.80000000000007,5,100.9982635142976,34,0.06623931623931624,58,973,230,107,252.20000000000002,768,123,NA,153,NA,NA,1,NA,19550,6415,14700,NA,1,NA
1950,114,291,12,68.20000000000002,4,253.9926794698743,41,0.05607966457023061,58,831,233,137,380.6000000000001,822,96,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1951,178,265,51,272.4000000000002,NA,NA,NA,0.041666666666666664,104,3260,161,122,614.3000000000001,1410,39,NA,67,49,NA,12,3,19550,6415,14700,NA,5,1
1952,125,304,45,80.20000000000002,6,68.00179025975103,3,0.04716981132075472,92,2760,212,135,657.6,1940,77,NA,106,NA,NA,3,NA,19550,6415,14700,NA,3,NA
1953,146,316,34,90.5,5,255.97889373081898,45,0.055320150659133704,63,850,253,190,215.70000000000002,574,63,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1954,156,247,12,92.5,4,94.99533575120041,19,0.050359712230215826,34,1370,213,117,146,786,96,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1955,127,303,8.5,44.400000000000006,NA,NA,NA,0.058823529411764705,79,734,224,187,53.2,321,37,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1956,226,275,53,110,NA,NA,NA,0.053156146179401995,51,1900,224,160,686,943,64,83,86,83,1,7,2,19550,6415,14700,1,3,1
1957,202,276,35,122.40000000000003,3,84.99754239590378,24,0.07142857142857142,40,2020,236,101,350,570,135,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1958,176,284,42,85,4,71.00161449680064,14,0.06451612903225806,59,1820,225,113,707.6,1790,112,184,183.5,184,1,7,1,19550,6415,14700,1,4,1
1959,143,334,15,50,8,84.99603473270481,46,0.05,122,445,212,118,119.80000000000001,320,94,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1960,148,266,16,42.30000000000001,NA,NA,NA,0.06559139784946236,45,456,221,110,163.5,410,111,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1961,137,351,18,46.00000000000003,3,102.91087040177851,44,0.07586206896551724,123,232,228,180,37,88,48,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1962,201,277,41,115,8,133.9951235038389,63,0.05682001614205004,77,1110,200,78,86.80000000000001,666.5,122,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1963,120,278,31,80.30000000000003,5,5749.927440835835,13,0.05771365149833518,54,2300,224,112,191,945,112,123,178,123,1,5,1,19550,6415,14700,1,3,1
1964,148,286,24.5,95.10000000000008,6,170.98070107276703,11,0.06606475716064757,55,652,231,199,98,214,32,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1965,136,270,32,90,9,67.99860108740951,30,0.04416608876560333,37,790,233,165,536,970,68,83,87,83,1,7,2,19550,6415,14700,1,3,1
1966,160,254,39.5,56,NA,NA,NA,0.050558213716108455,67,923,187,147,109,282,40,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1967,156,307,47,113,NA,NA,NA,0.056962025316455694,70,3060,237,189,113,1170,48,NA,140,NA,NA,2,NA,19550,6415,14700,NA,2,NA
1968,202,262,44,182.70000000000002,4,154.98192277826197,3,0.04807692307692308,74,860,188,91,161,557,97,NA,NA,NA,NA,NA,NA,19550,6415,14700,NA,NA,NA
1969,168,275,49,103.20000000000005,8,455.9899138001238,34,0.05058139534883721,49,1800,226,128,935.6,1750,98,NA,113,112,NA,6,1,19550,6415,14700,NA,2,1
1970,168,247,53,120,3,242.99674640267872,16,0.045736761522622876,85,2100,162,85,233.4,1200,77,NA,112,NA,NA,5,NA,19550,6415,14700,NA,3,NA
