Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1958,143,314,53,77.6,2,1709.9912055685677,9,0.0536789735532862,80,3380,234,119,427,1000,115,146,146,143,1,5,2,8200,3545,5590,1,3,2
1959,176,299,41,49.5,2,89.99956777795555,44,0.047619047619047616,70,1220,229,138,255.8,604.5,91,NA,103,103,NA,1,1,8200,3545,5590,NA,1,1
1960,176,301,40,211,NA,NA,NA,0.045454545454545456,53,1230,248,139,155.4,531,109,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1961,183,300,48,173.60000000000002,5,65.99533211933218,5,0.060810810810810814,52,1560,248,137,250,710,111,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1962,75,295,43,60.400000000000034,8,84.99398971304785,26,0.05732484076433121,72,1380,223,106,186,605.5,117,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1963,72,301,48,63.8,NA,NA,NA,0.04075235109717868,66,1840,235,231,119,370,4,NA,125,NA,NA,3,NA,8200,3545,5590,NA,3,NA
1964,101,315,33,99,3,131.99637216233603,5,0.045,86,472,229,222,121.20000000000002,264.5,7,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1965,110,287,43.5,69.20000000000002,8,173.99755321116962,28,0.057309899310693274,74,1990,213,163,231.2,433,50,82,81,82,2,4,2,8200,3545,5590,1,1,1
1966,117,288,35,54,NA,NA,NA,0.05185185185185185,68,2000,220,189,135.4,274,31,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1967,160,304,52.5,124.1,NA,NA,NA,0.05555555555555555,67,3550,237,198,208.10000000000002,436,39,NA,233,NA,NA,1,NA,8200,3545,5590,NA,1,NA
1968,243,285,73,350.20000000000005,2,103.00021843854881,1,0.04857740021574973,49,947,236,138,221.40000000000003,517,98,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1969,137,295,49,75.4,2,188.99256420273957,42,0.04961608346521306,67,3840,228,66,419.5,1415,162,NA,220,NA,NA,5,NA,8200,3545,5590,NA,1,NA
1970,111,285,35,63,4,95.05444637635689,15,0.06280193236714976,167,9200,118,52,202.1,502.5,66,114,96.5,97,1,5,3,8200,3545,5590,1,2,2
1971,158,309,58,118.60000000000002,NA,NA,NA,0.048916136375394485,65,1640,244,214,199.3,570,30,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1972,149,290,51,117.20000000000002,4,289.9711430489965,41,0.05602636534839925,76,2040,214,113,195,690,101,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1973,95,287,42,66.80000000000003,4,113.9944987085026,11,0.05180546519193234,57,2330,230,157,187.2,398,73,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1974,190,302,67,131.1,NA,NA,NA,0.05134474327628362,60,2680,242,226,314,735,16,73.5,120,106,3,10,6,8200,3545,5590,2,4,3
1975,205,305,98,154.99999999999997,4,96.97284763443,27,0.04838709677419355,59,2960,246,120,255.2,617,126,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1976,249,285,38,56,6,201.90048558023742,29,0.04511533242876527,60,1430,225,81,165,364,144,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1977,109,302,29,99,8,64.98200947182113,44,0.04423480083857442,61,285,241,73,61.4,159,168,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1978,197,315,62,132.00000000000003,5,80.00040943518366,0,0.041237113402061855,63,1670,252,207,312.4,819,45,NA,102.5,NA,NA,3,NA,8200,3545,5590,NA,2,NA
1979,158,296,50.5,291.1000000000001,4,114.99339015622232,61,0.0425531914893617,66,1600,230,84,177.20000000000002,619.5,146,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1980,138,305,44,70,4,1449.7602709649577,24,0.04411764705882353,91,1670,214,126,261,463,88,NA,140,NA,NA,2,NA,8200,3545,5590,NA,1,NA
1981,96,293,30,46,4,77.98093116256975,11,0.05,78,1360,215,138,120,422,77,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1982,155,314,134,319.59999999999997,5,88.99773446666028,6,0.04421104054714216,74,1490,240,217,270,570,23,46,62.5,46,1,4,1,8200,3545,5590,1,2,1
1983,69,323,93,162.60000000000002,4,833.9855088294103,22,0.051470588235294115,79,5060,244,141,463,936,103,NA,233,NA,NA,9,NA,8200,3545,5590,NA,1,NA
1984,82,313,56,67.9,NA,NA,NA,0.039083969465648856,84,1530,229,203,314.8,519,26,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1985,174,285,46,93,7,98.98994293605182,10,0.04583333333333333,85,1560,200,171,143,213,29,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1986,208,282,67,90.30000000000001,3,191.98835624576938,20,0.06140350877192982,121,4110,161,68,170.5,678.5,93,NA,140,NA,NA,4,NA,8200,3545,5590,NA,3,NA
1987,136,281,35,60,4,108.99665689275379,26,0.04191546657300082,68,1470,213,89,196.8,686,124,NA,155,NA,NA,1,NA,8200,3545,5590,NA,1,NA
1988,192,312,88.5,171,NA,NA,NA,0.041816415735794074,80,859,232,181,148,412,51,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1989,92,289,39,54.900000000000006,8,202.9876681485408,33,0.05217785843920145,65,1170,224,86,205,809.5,138,NA,159,159,NA,3,1,8200,3545,5590,NA,1,1
1990,179,308,38,50,NA,NA,NA,0.049019607843137254,64,1460,244,229,67,158,15,NA,238,NA,NA,1,NA,8200,3545,5590,NA,1,NA
1991,179,314,34,69.40000000000003,5,65.92018453580171,30,0.04878048780487805,76,759,238,117,67.6,349,121,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1992,228,261,51.5,149.80000000000007,3,66.9942155451195,25,0.06333333333333334,45,1280,216,89,409.6,657,127,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1993,126,304,44.5,71,4,124.99224465220473,29,0.04142011834319527,58,7190,246,123,314.6,1100,123,NA,204,242,NA,4,1,8200,3545,5590,NA,2,1
1994,160,297,28,61.099999999999994,2,75.99338906283472,10,0.041666666666666664,74,905,223,159,94.8,275,64,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
1995,109,315,44,67,5,76.99897870507465,39,0.043478260869565216,77,2210,238,147,485.6,1000,91,NA,143,NA,NA,8,NA,8200,3545,5590,NA,4,NA
1996,110,300,44,61.10000000000001,NA,NA,NA,0.046846351301796846,67,1850,233,175,143.00000000000003,607,58,NA,139,NA,NA,1,NA,8200,3545,5590,NA,1,NA
1997,189,264,58,188.00000000000017,NA,NA,NA,0.050724637681159424,168,15000,96,52,138,379.5,44,91,79,79.5,2,7,4,8200,3545,5590,1,2,2
1998,88,325,67,89,3,84.00110136019678,8,0.04918032786885246,69,2930,256,169,345.6,1020,87,NA,196,174,NA,5,1,8200,3545,5590,NA,4,1
1999,158,305,63.5,168.3,NA,NA,NA,0.04617834394904458,65,2550,240,193,165.40000000000003,404,47,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
2000,197,306,58,86,6,130.99766548779687,27,0.04807692307692308,67,2220,239,142,472.8,894.5,97,NA,195,NA,NA,1,NA,8200,3545,5590,NA,1,NA
2001,182,260,37,173.70000000000002,4,149.96050592696193,27,0.057803468208092484,30,1060,230,93,170,545,137,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
2002,139,294,36,71.94000000000001,4,94.98806662564058,29,0.047619047619047616,95,2130,199,123,199.2,441,76,NA,93,NA,NA,1,NA,8200,3545,5590,NA,1,NA
2003,194,295,73.55000000000001,334.60000000000014,2,308.9957369006152,38,0.05625,51,2450,244,177,307,848,67,NA,88,NA,NA,1,NA,8200,3545,5590,NA,1,NA
2004,170,301,68.9,225.1,4,269.99634487078663,38,0.04613503538370728,82,1660,219,96,242.5,981,123,NA,139,139,NA,2,1,8200,3545,5590,NA,1,1
2005,127,314,54.1,147.40000000000003,3,224.9761234032505,18,0.05116279069767442,71,1850,243,138,414.20000000000005,692,105,NA,NA,NA,NA,NA,NA,8200,3545,5590,NA,NA,NA
