Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1986,183,313,4.1,4.8,1,13.947013445362158,62,0.043478260869565216,67,67,246,119,24,47,127,158,203,149,1,22,2,254,59.5,170.60000000000002,1,5,2
1987,103,300,2.1,2.5799999999999996,NA,NA,NA,0.04545454545454549,91,16,209,79,4.2,6.6,130,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1988,228,285,2,3,NA,NA,NA,0.05263157894736839,85,10,200,163,2.6,3.2,37,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1989,236,294,2.8,4.1,2,4.0459889834085505,43,0.05263157894736842,71,35,223,76,8.5,29,147,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1990,224,287,2,2.4,5,12.923050784522072,22,0.052177858439201405,81,29,206,42,6.120000000000001,17,164,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1991,198,303,2.1,2.330000000000001,NA,NA,NA,0.06666666666666672,65,16,238,93,2.9,9.3,145,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1992,227,292,1.8,2.8,7,10.956934371555151,25,0.055555555555555684,93,12,199,64,3.8,4.85,135,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1993,199,308,2.4,2.720000000000002,7,6.403472910694453,29,0.05454545454545454,73,99,235,82,5.02,26.5,153,NA,226,NA,NA,32,NA,254,59.5,170.60000000000002,NA,2,NA
1994,238,277,1.6,6.1,NA,NA,NA,0.05228981544771018,55,12,222,81,3,6.9,141,NA,NA,NA,NA,NA,NA,254,59.5,170.60000000000002,NA,NA,NA
1995,214,328,3.9,14.700000000000017,3,7.275563835329755,36,0.04403684550743375,67,89,261,112,14,42,149,NA,238.5,212,NA,54,1,254,59.5,170.60000000000002,NA,4,1
1996,127,300,3.3,4.900000000000003,3,70.86766990642639,72,0.05634920634920641,68,263,232,56,17.5,45.5,176,228,198,228,1,25,3,254,59.5,170.60000000000002,1,5,1
1997,279,283,4.4,8.72,2,28.993897571914605,48,0.056818181818181816,56,52,227,166,8.6,18,61,92,145.5,92,2,19,3,254,59.5,170.60000000000002,1,2,1
