Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1966,202,217,0,0.9700000000000017,NA,NA,NA,0.08235294117647059,85,235,132,88,18,51,44,NA,NA,NA,NA,NA,NA,6854.000000000002,1950,4250,NA,NA,NA
1967,196,244,0,35,NA,NA,NA,0.041666666666666664,35,760,209,156,5.800000000000001,220,53,66,115,66,1,4,1,6854.000000000002,1950,4250,1,3,1
1968,212,254,0,12,NA,NA,NA,0.06666666666666667,65,42,189,115,11.4,26,74,NA,NA,NA,NA,NA,NA,6854.000000000002,1950,4250,NA,NA,NA
1969,262,181,0,83.9,NA,NA,NA,0.06,30,3040,151,51,259,924,100,116,116,129,2,11,5,6854.000000000002,1950,4250,1,3,4
1970,219,199,0,22.60000000000005,NA,NA,NA,0.061855670103092786,40,900,159,82,5.34,77,77,NA,107,NA,NA,1,NA,6854.000000000002,1950,4250,NA,1,NA
1971,177,264,0,0,NA,NA,NA,0.125,96,133,168,116,31.5,70.5,52,NA,NA,NA,NA,NA,NA,6854.000000000002,1950,4250,NA,NA,NA
1972,238,224,0,22.600000000000023,NA,NA,NA,0.08771929824561403,91,96,133,58,0,25,75,NA,NA,NA,NA,NA,NA,6854.000000000002,1950,4250,NA,NA,NA
1973,210,235,0,34,3,433.9714110353832,46,0.07253551442100732,59,385,176,80,131.1,430,96,NA,133,NA,NA,1,NA,6854.000000000002,1950,4250,NA,1,NA
1974,230,250,0,27,16,284.941625236435,48,0.07772020725388601,63,1000,187,108,54.1,167.5,79,NA,151,NA,NA,3,NA,6854.000000000002,1950,4250,NA,1,NA
1975,195,255,0,8.179999999999996,3,444.99238392650466,64,0.06316489361702127,79,852,176,62,19,320,114,NA,124,NA,NA,1,NA,6854.000000000002,1950,4250,NA,1,NA
1976,NA,229,NA,NA,NA,NA,NA,0.11964285714285719,31,19,198,114,3.9,7.4,84,NA,NA,NA,NA,NA,NA,6854.000000000002,1950,4250,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,197,263,0,29,NA,NA,NA,0.05042016806722689,59,442,204,118,205,422.5,86,NA,129,119,NA,14,2,6854.000000000002,1950,4250,NA,3,2
1979,195,252,0,0.22399999999999892,2,176.98972409410158,52,0.07272727272727272,69,636,183,89,62.60000000000001,153,94,NA,NA,NA,NA,NA,NA,6854.000000000002,1950,4250,NA,NA,NA
1980,291,182,6.4,108,NA,NA,NA,0.061444077394997645,21,1180,161,80,77.10000000000001,307.5,81,NA,122,NA,NA,7,NA,6854.000000000002,1950,4250,NA,2,NA
1981,191,251,0,39,2,35.96986463564586,65,0.07623188405797102,75,632,176,69,16.8,79,107,NA,NA,NA,NA,NA,NA,6854.000000000002,1950,4250,NA,NA,NA
1982,175,267,0,71.59999999999997,14,162.97336548717374,44,0.056623931623931624,70,1600,197,121,62,162,76,NA,144,NA,NA,2,NA,6854.000000000002,1950,4250,NA,2,NA
1983,166,237,11,41,16,587.982748722394,49,0.06985655843819584,22,783,215,139,82.4,605,76,118,117,122.5,3,18,8,6854.000000000002,1950,4250,3,5,6
1984,180,237,0,0,5,42.99999850804911,0,0.06158569622539281,147,1030,90,53,83,143,37,NA,85,NA,NA,1,NA,6854.000000000002,1950,4250,NA,1,NA
1985,236,248,0,68.5,NA,NA,NA,0.07142857142857142,65,170,183,132,21.1,39,51,NA,NA,NA,NA,NA,NA,6854.000000000002,1950,4250,NA,NA,NA
1986,275,209,0.04,42.19999999999999,2,107.9737359288877,56,0.06180555555555556,39,2990,170,52,96.4,855.5,118,137,162.5,137.5,1,13,5,6854.000000000002,1950,4250,1,4,2
1987,202,229,0,1.4700000000000017,NA,NA,NA,0.047619047619047616,68,281,161,43,18,39,118,NA,NA,NA,NA,NA,NA,6854.000000000002,1950,4250,NA,NA,NA
1988,202,243,0,0,NA,NA,NA,0.07228915662650608,87,70,156,91,25,53,65,NA,NA,NA,NA,NA,NA,6854.000000000002,1950,4250,NA,NA,NA
