Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1954,NA,238,NA,NA,NA,NA,NA,NA,0.04951000408329931,0.31794871794871793,51,918,187,NA,NA,NA,NA,54,54,54,1,1,1,4926.000000000003,2860,4062.0000000000005,1,1,1,274.83260273972564,wet year
1955,124,265,11,34,1,40,19,25,0.05405405405405406,0.15469613259668508,47,422,218,181,103.1,212,37,NA,92,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,157.68465753424678,dry year
1956,115,271,12,27.5,1,28,10,17,0.05749198717948718,0.3745583038869258,127,4410,144,120,15,457,24,94.5,80,82,3,9,6,4926.000000000003,2860,4062.0000000000005,2,5,3,423.032513661203,wet year
1957,135,271,22.5,72.5,3,26,11,14,0.05303030303030303,0.2781954887218045,40,1070,231,210,44,218,21,NA,163,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,252.49479452054754,mod year
1958,147,266,8.1,25.30000000000001,4,68,6,45,0.06415094339622641,0.3515981735159817,118,2190,148,107,125,812,41,44,63,44,1,4,1,4926.000000000003,2860,4062.0000000000005,1,4,1,395.6093406593401,wet year
1973,139,245,7.8,43,4,210,35,199,0.050862068965517246,0.270516717325228,63,623,182,134,80.4,347,48,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,192.50328767123318,mod year
1974,148,253,5.7,31,2,33,7,24.9,0.04939024390243903,0.48517520215633425,70,3710,183,164,267.8,651,19,NA,61,NA,NA,3,NA,4926.000000000003,2860,4062.0000000000005,NA,3,NA,410.20630136986233,wet year
1975,129,259,12,42.10000000000001,2,34,28,27.8,0.05456462416273877,0.550314465408805,83,3180,176,140,22,378,36,169,121,169,1,5,1,4926.000000000003,2860,4062.0000000000005,1,4,1,340.1641095890404,wet year
1976,206,251,11,26,2,62,10,49,0.0459830866807611,0.16941176470588235,75,462,176,153,107.9,220.5,23,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,185.44480874316912,mod year
1977,146,252,8.6,32.80000000000001,2,71,46,60,0.06818181818181818,0.21238938053097345,62,171,190,98,16,59,92,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,44.15506849315064,dry year
1978,210,254,13,44,3,142,25,133.15,0.07042253521126761,0.4103030303030303,95,1650,159,126,66.40000000000003,475,33,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,261.38712328767184,wet year
1979,119,269,8.2,32,2,50,51,37,0.06060606060606061,0.1797583081570997,50,793,219,120,70,258,99,NA,103,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,139.9476712328769,dry year
1980,127,274,12,29.599999999999994,2,55,15,46.8,0.06739722916193505,0.21772639691714837,101,724,173,150,139,349,23,NA,104,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,269.3245901639347,wet year
1981,128,263,9.9,27.200000000000003,4,54,14,42,0.06772908366533864,0.3010752688172043,86,1000,177,141,22.1,156.5,36,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,139.15780821917778,dry year
1982,128,257,11,29.400000000000006,2,51,7,41.1,0.052884615384615384,0.3584905660377358,61,2120,196,170,230,479,26,NA,80,80,NA,2,1,4926.000000000003,2860,4062.0000000000005,NA,1,1,361.8027397260267,wet year
1983,142,261,19,55,2,23,7,12,0.06363636363636363,0.3173076923076923,80,2470,181,161,35.1,551,20,NA,77,118,NA,3,1,4926.000000000003,2860,4062.0000000000005,NA,3,1,393.553150684932,wet year
1984,108,275,12,31,3,109,32,90,0.06976744186046512,0.3358208955223881,106,880,169,131,144.4,498,38,NA,75,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,329.3489071038251,wet year
1985,170,233,7.6,45,4,57,11,45,0.05,0.14105793450881612,49,583,184,166,81,183,18,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,184.06821917808153,mod year
1986,157,256,13,37.30000000000001,4,216,23,208,0.06382978723404255,0.29906542056074764,97,2140,159,121,58.2,257.5,38,140,139,140,1,4,1,4926.000000000003,2860,4062.0000000000005,1,1,1,251.2145205479448,mod year
1987,195,229,6.65,35.5,2,53,30,40,0.05490806791922034,0.176,60,538,169,121,90.80000000000001,228,48,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,130.7923287671234,dry year
1988,127,280,6.9,30.599999999999994,2,59,52,52.2,0.06557377049180328,0.15853658536585366,30,372,250,191,58.1,115,59,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,127.90245901639337,dry year
1989,163,255,13,28.700000000000017,4,103,34,95.65,0.07053941908713693,0.21147540983606558,73,1230,182,140,125,377,42,NA,53,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,239.15287671232923,mod year
1990,123,285,9.399999999999999,22.700000000000003,4,139,24,126,0.06698369565217391,0.3618817852834741,42,1020,243,190,24,160,53,NA,100,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,148.87479452054765,dry year
1991,150,261,9.9,33,4,40,31,30.4,0.05917159763313609,0.24444444444444444,73,450,188,145,19,66,43,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,91.59753424657528,dry year
1992,182,231,6.1,31.80000000000001,5,81,26,71.1,0.06940282534246575,0.4845360824742268,31,679,200,154,28.4,92,46,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,68.97650273224053,dry year
1993,82,290,6.4,32.19999999999999,4,81,32,74.1,0.06712962962962964,0.28924418604651164,90,820,200,152,60.2,340,48,NA,112,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,256.30076712328736,mod year
1998,126,273,7.1,30.400000000000006,1,43,2,27,0.06181150550795594,0.3620689655172414,99,2320,174,167,21.4,401.5,7,NA,109,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,334.42575342465784,wet year
1999,148,262,6.8,27.200000000000017,2,25,25,17.85,0.06274509803921569,0.3434650455927052,111,2090,151,117,82.1,386.5,34,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,296.3202739726024,wet year
2000,125,266,6.65,27,5,36,28,28.65,0.060714285714285714,0.3431372549019608,116,1250,150,105,59,291.5,45,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,187.98497267759507,mod year
2001,165,241,4.7,23.5,2,20,21,13.25,0.05982905982905983,0.2426470588235294,38,227,203,177,16.7,105,26,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,76.83315068493138,dry year
2002,189,245,5.49,21.8,3,18.7,31,13.959999999999999,0.05813953488372093,0.5379310344827586,102,2030,143,102,90.28000000000004,359,41,NA,67,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,206.39586301369872,mod year
2003,156,264,6.52,26.04,2,70.6,39,65,0.0594059405940594,0.1909196740395809,48,1030,216,147,162.4,429.5,69,NA,90.5,NA,NA,2,NA,4926.000000000003,2860,4062.0000000000005,NA,2,NA,261.91912328767114,wet year
2004,173,248,9.57,34.51000000000002,2,28.5,40,21.77,0.06300813008130084,0.31379962192816635,99,1670,149,94,130.20000000000002,457,55,NA,140,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,200.0276775956282,mod year
2005,106,291,8.76,23.32000000000001,3,84.8,19,74.80499999999999,0.06862745098039216,0.3040983606557377,61,1220,230,174,89.47999999999999,257,56,NA,69,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,195.09652054794537,mod year
2006,152,264,5.52,27.92000000000001,2,30.4,15,21.525,0.07120743034055728,0.25518925518925517,106,1050,158,126,75.660000000000025,488,32,NA,89,91,NA,4,2,4926.000000000003,2860,4062.0000000000005,NA,3,1,349.8552328767127,wet year
2007,152,255,10.9,32.56000000000001,6,19.6,35,13.950000000000001,0.0634923899629782,0.22486288848263253,92,611,163,112,95.62,320,51,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,195.5885479452057,mod year
2008,141,254,5.275,24,2,536,19,524.45,0.06321839080459771,0.24012158054711247,83,541,171,129,53.37,335,42,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,193.44871584699496,mod year
2009,147,253,5.779999999999999,29.34000000000002,3,24,4,18.725,0.05113537854542224,0.45310015898251194,36,629,217,187,18.97,169.5,30,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,154.96210958904123,dry year
2010,115,286,9.915,43.45,2,47,14,41.21,0.05673758865248227,0.32037037037037036,77,1180,209,174,22.12,256,35,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,185.27660273972594,mod year
2011,119,281,10.7,35.8,3,597,24,587.03,0.05745341614906836,0.28536585365853656,81,1230,200,164,111.60000000000002,364,36,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,269.87868493150665,wet year
2012,132,263,7.42,33.03999999999999,5,72.4,6,61.60000000000001,0.06534679089026915,0.2571428571428571,61,754,202,167,19.61,186,35,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,210.01909836065585,mod year
2013,242,224,9.25,32.84000000000001,1,16.4,16,8.829999999999998,0.05744870968233259,0.254278728606357,34,409,190,160,22.1,174,30,NA,63,NA,NA,1,NA,4926.000000000003,2860,4062.0000000000005,NA,1,NA,134.55000000000018,dry year
2014,170,239,7.22,32.8,6,32,52,22.705,0.0790764790764791,0.28023598820059,59,815,180,79,14.15,111.5,101,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,69.86701369863012,dry year
2015,192,220,4.84,28.96000000000001,2,34.2,21,26.880000000000003,0.06561679790026247,0.4930643127364439,45,793,175,131,75.53999999999999,153.5,44,NA,NA,NA,NA,NA,NA,4926.000000000003,2860,4062.0000000000005,NA,NA,NA,133.63265753424665,dry year
