Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1950,NA,196,NA,NA,NA,NA,NA,NA,0.33333333333333326,0.5555555555555556,5,5.4,191,NA,NA,NA,NA,NA,353,NA,NA,1,NA,670.5,65,260,NA,1,NA,0.7180821917808243,mod year
1951,291,161,0,0.6,2,11,27,10.9,NA,NA,0,1.2,161,125,0.25,0.6,36,NA,NA,NA,NA,NA,NA,670.5,65,260,NA,NA,NA,0.3597260273972606,mod year
1952,227,198,0,1.6,5,34,66,34,0.3125,0.6097560975609756,5,41,193,106,1.2,4,87,167,89,105.5,1,9,4,670.5,65,260,1,5,4,10.63333333333332,wet year
1953,362,100,0,0.5,1,43,46,43,NA,NA,0,28,100,40,1,3,60,NA,75.5,89,NA,2,1,670.5,65,260,NA,2,1,2.033516483516483,wet year
1959,NA,150,0,0.1,NA,NA,NA,0,0.40924092409240925,0.8673076923076923,6,101,144,47,0.1,0.15000000000000002,97,NA,141.5,NA,NA,2,NA,670.5,65,260,NA,2,NA,0.8950684931506842,mod year
1960,NA,187,NA,NA,NA,NA,NA,NA,0.75,1,85,0.2,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.5,65,260,NA,NA,NA,0.03770491803278694,dry year
1961,NA,181,NA,NA,NA,NA,NA,NA,1,1,3,0.1,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.5,65,260,NA,NA,NA,0.005479452054794535,dry year
1962,265,176,0,0.4,NA,NA,NA,0,0.1250000000000001,0.19047619047619052,5,3.6,171,59,0,2.5999999999999996,112,NA,132,135,NA,6,3,670.5,65,260,NA,3,2,5.0186301369863,wet year
1963,268,209,0,0.1,NA,NA,NA,0,NA,NA,0,0.5,209,133,0,0.1,76,NA,NA,NA,NA,NA,NA,670.5,65,260,NA,NA,NA,0.40082191780821924,mod year
1964,303,159,0,0.1,NA,NA,NA,0,NA,NA,0,0.2,159,47,0.1,0.2,112,NA,NA,NA,NA,NA,NA,670.5,65,260,NA,NA,NA,0.09153005464480887,dry year
1965,233,203,0,0.4,1,11,28,11,0.14285714285714282,0.3269230769230769,11,5.2,192,95,0.1,0.2,97,NA,NA,NA,NA,NA,NA,670.5,65,260,NA,NA,NA,0.2134246575342464,dry year
1966,344,133,0,0.6,2,70,54,70,0.13392857142857145,0.27272727272727276,5,2.2,128,57,0.4,1.05,71,NA,54,NA,NA,1,NA,670.5,65,260,NA,1,NA,0.8117808219178091,mod year
1967,229,213,0,3.2199999999999993,1,77,67,77,0.08488372093023253,0.10638297872340426,5,9.4,208,96,0.060000000000000143,3.6,112,NA,91.5,NA,NA,2,NA,670.5,65,260,NA,2,NA,2.6520547945205455,wet year
1968,287,189,0,0,NA,NA,NA,0,0.41860465116279066,0.44871794871794873,3,0.78,186,109,0.1,0.215,77,NA,NA,NA,NA,NA,NA,670.5,65,260,NA,NA,NA,0.11027322404371566,dry year
1969,253,193,0.025,2.870000000000002,NA,NA,NA,0,0.2857142857142857,0.3888888888888889,5,54,188,77,7.08,15,111,132,115,132,2,16,4,670.5,65,260,2,4,2,16.596054794520544,wet year
1970,NA,167,0.02,0.14,NA,NA,NA,0,0.12820512820512822,0.7727272727272727,11,22,156,75,0.005,0.265,81,NA,NA,NA,NA,NA,NA,670.5,65,260,NA,NA,NA,0.3857967032967031,mod year
