Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1965,NA,379,NA,NA,4,2349.9989664915765,0,0.01242248005941186,287,39900,92,32,920,930,60,83,89,83,3,12,5,73860,22800,47600.00000000001,1,2,1
1966,46,342,956,982,NA,NA,NA,0.07059716599190283,21,3760,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1967,25,364,2400,2622,NA,NA,NA,0.019130445381633797,100,8710,264,242,1481,6905,22,NA,143.5,NA,NA,6,NA,73860,22800,47600.00000000001,NA,2,NA
1968,104,335,946,2450,NA,NA,NA,0.03418803418803419,53,4680,282,259,1496,2870,23,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1969,158,275,2610,4600,2,2450.000459994647,53,0.014906832298136646,154,39900,121,48,2450,3560,73,NA,111,112,NA,9,3,73860,22800,47600.00000000001,NA,1,1
1970,64,324,3550,3660,3,4640.002733052088,36,0.012987012987012988,205,50300,119,52,2520,7645,67,NA,108,112,NA,11,2,73860,22800,47600.00000000001,NA,1,2
1971,NA,366,NA,NA,NA,NA,NA,0.08333333333333333,41,4210,325,303,1760,4190,22,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1972,68,396,2540,3171.000000000002,NA,NA,NA,0.015,66,3550,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1973,87,306,2080,2560,8,4150.000440569876,50,0.011857707509881422,192,24800,114,46,2480,4600,68,NA,106.5,NA,NA,5,NA,73860,22800,47600.00000000001,NA,2,NA
1974,NA,295,NA,NA,7,4049.976856702735,10,0.011419249592169658,108,20600,187,160,4069,7535,27,NA,109,NA,NA,4,NA,73860,22800,47600.00000000001,NA,1,NA
1975,51,341,2990,3050,NA,NA,NA,0.005655288574291623,154,8250,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1976,215,199,1220,2030,NA,NA,NA,NA,NA,3070,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1977,89,380,271,293,NA,NA,NA,0.006687675070028012,74,1140,306,258,257,812.5,48,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1978,149,301,1430,3060.000000000002,NA,NA,NA,0.015304438553344618,78,8140,223,134,314.9000000000002,5000,89,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1979,168,276,2500,3470,2,3010.000433731973,1,0.012397043456881186,38,8550,238,154,1210,2450,84,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1980,NA,322,NA,NA,NA,NA,NA,0.005376344086021506,172,32400,150,72,2052,5100,78,106,123,104,1,12,4,73860,22800,47600.00000000001,1,2,1
1981,53,345,1520,2378.0000000000005,NA,NA,NA,0.0125,76,4030,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1982,95,284,3630,4930,3,2429.9966439008604,0,0.019115890083632018,87,49400,197,165,2356,8130,32,138,138,165.5,2,19,3,73860,22800,47600.00000000001,1,5,2
1983,84,308,3920,4757,NA,NA,NA,0.00980392156862745,35,12300,273,260,4000.0000000000005,9180,13,NA,131,NA,NA,13,NA,73860,22800,47600.00000000001,NA,5,NA
1984,65,329,2180,2250,NA,NA,NA,0.012437887910496711,236,46700,93,67,2726,8560,26,NA,57,NA,NA,12,NA,73860,22800,47600.00000000001,NA,3,NA
1985,113,349,1480,2315.9999999999986,NA,NA,NA,0.011707328216374269,29,3530,320,292,1378,2040,28,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1986,NA,335,NA,NA,4,2479.998018421848,0,0.021367521367521368,188,82400,147,51,1460,4950,96,139,148,139,5,16,5,73860,22800,47600.00000000001,1,2,1
1987,NA,340,NA,NA,4,4209.996624699106,3,0.011884961884961884,15,2950,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1988,184,330,636.5,1040,3,3059.999784503632,0,0.01465923291358262,31,4550,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1989,NA,360,NA,NA,4,1599.9864635025551,5,0.15310284654815137,35,4640,325,177,1400,3570,148,NA,176,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
1990,6,364,771,806,5,4449.921126364901,13,0.011695906432748537,58,6200,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1991,NA,353,NA,NA,NA,NA,NA,0.011782965379620538,38,3960,315,311,375,784,4,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1992,91,369,574,645,6,2970.0053908474874,9,0.009681881051175657,64,3700,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1993,34,347,1835,4190,4,1099.9870048293706,29,0.011904761904761904,64,8600,283,192,949.6000000000001,4840,91,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1994,101,347,1010,1440,4,3299.994652251116,0,0.007562466772993088,63,4090,284,269,1010,1690,15,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1995,151,321,2420,4010,NA,NA,NA,0.10243445692883896,27,32900,294,212,3584,7940,82,NA,204.5,NA,NA,10,NA,73860,22800,47600.00000000001,NA,4,NA
1996,122,286,2525,3080,1,5009.999692957281,0,0.040306482298409024,51,25100,235,129,1988,4660,106,NA,178.5,NA,NA,5,NA,73860,22800,47600.00000000001,NA,2,NA
1997,308,144,2390,3640,NA,NA,NA,0.132994923857868,44,63100,100,58,2847,10050,42,93,94,93,2,25,5,73860,22800,47600.00000000001,1,4,1
1998,166,293,3140,4025,4,3599.960946462685,23,0.03556729699666296,30,9980,263,177,4316,7290,86,NA,126,NA,NA,2,NA,73860,22800,47600.00000000001,NA,1,NA
1999,140,324,2330,2401,NA,NA,NA,0.013333333333333334,180,21800,144,51,2520,6500,93,NA,132,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
2000,NA,327,NA,NA,NA,NA,NA,0.01639371798101957,173,14700,154,56,1985,5540,98,NA,137,NA,NA,2,NA,73860,22800,47600.00000000001,NA,1,NA
2001,177,320,1470,1540,9,2429.974438826544,49,0.010441962117532783,52,2620,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2002,114,342,1550,1840,NA,NA,NA,0.009650235592606016,41,3990,301,170,1520,3020,131,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2003,96,352,1980,1995,NA,NA,NA,0.016853932584269662,45,4570,307,217,1850,3090,90,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2004,140,337,1440,1671,NA,NA,NA,0.008503401360544217,45,3550,292,210,1938,2440,82,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2005,145,285,2450,3490,NA,NA,NA,0.01875,46,13500,239,128,2320,3960,111,NA,231,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
2006,NA,287,NA,NA,NA,NA,NA,0.023076923076923078,92,22300,195,131,2160,7710,64,NA,135,NA,NA,19,NA,73860,22800,47600.00000000001,NA,2,NA
2007,220,366,1070,1270,NA,NA,NA,0.01729980381665775,77,4100,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2008,152,373,869.5,1160,NA,NA,NA,0.015503875968992248,79,3240,294,74,1000,3140,220,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2009,195,355,1830,1910,NA,NA,NA,0.01875,53,5280,302,150,1170,3440,152,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2010,54,350,1600,2050,NA,NA,NA,0.018714704723547693,96,8600,254,70,1120,5010,184,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2011,NA,311,NA,NA,NA,NA,NA,0.0367504835589942,44,13500,267,229,2586,7250,38,NA,121,NA,NA,8,NA,73860,22800,47600.00000000001,NA,2,NA
2012,43,376,1700,1790,NA,NA,NA,0.011834319526627219,61,4570,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2013,NA,377,NA,NA,NA,NA,NA,0.008888888888888889,287,9760,90,47,1830,2030,43,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2014,197,383,880,1040,NA,NA,NA,0.009478885893980233,104,2030,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2015,110,387,504,592.2,8,1430.0004092226695,0,0.007905261842269716,91,3760,296,99,552.6,2010,197,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2016,78,343,1115,1610,NA,NA,NA,0.007335138722000036,173,20200,170,60,757.7,3045,110,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2017,245,278,3090,3750,NA,NA,NA,0.01878969654199012,138,36000,140,85,1220,10200,55,132,98,116,2,42,8,73860,22800,47600.00000000001,1,3,2
2018,137,341,1800,1900,NA,NA,NA,0.017937219730941704,149,24700,192,35,1690,8140,157,NA,187,NA,NA,3,NA,73860,22800,47600.00000000001,NA,1,NA
2019,NA,354,NA,NA,NA,NA,NA,0.008670520231213872,100,15200,254,142,1791,8410,112,NA,149,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
2020,NA,407,NA,NA,NA,NA,NA,0.009167191105517097,113,4210,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2021,87,349,564,645.4,NA,NA,NA,0.01206896551724138,74,1910,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2022,71,385,1370,1480,2,1979.7744925910633,24,0.007984827234476603,92,4520,293,223,1012,1930,70,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
2023,160,277,2930,3940,NA,NA,NA,0.04807692307692308,34,16200,243,172,1486.0000000000023,7220,71,NA,126.5,NA,NA,15,NA,73860,22800,47600.00000000001,NA,2,NA
