Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1905,142,308,165,275,6,1679.9883810140004,62,0.0851063829787234,76,9080,232,159,1150.0000000000002,4200,73,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1906,124,331,410,1385.0000000000002,4,227.99685298327347,52,0.07333333333333333,53,13200,278,194,1039.0000000000011,11000,84,NA,174,NA,NA,10,NA,73860,22800,47600.00000000001,NA,5,NA
1907,98,320,800,1180,4,1999.9810865595716,35,0.0752520325203252,144,59000,176,87,2590,7380,89,146.5,145.5,146,3,14,6,73860,22800,47600.00000000001,2,2,2
1908,122,324,130,1025.0000000000002,NA,NA,NA,0.09375,81,5760,243,191,890,2560,52,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1909,90,301,350,800,3,2139.9839702633762,15,0.07742782152230972,185,62500,116,36,160,8580,80,105,117,108.5,3,16,5,73860,22800,47600.00000000001,1,2,2
1910,168,284,390,1256.0000000000014,NA,NA,NA,0.06818181818181818,107,17600,177,152,800,5780,25,NA,76.5,NA,NA,4,NA,73860,22800,47600.00000000001,NA,4,NA
1911,190,313,400,814.9999999999998,3,525.0008151186153,34,0.11818426000537201,55,25200,258,172,3740.0000000000005,13200,86,NA,157,121,NA,17,2,73860,22800,47600.00000000001,NA,7,1
1912,198,318,580,1560,NA,NA,NA,0.1346938775510204,69,11300,249,112,915.5000000000001,2740,137,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1913,146,288,232,566.5,3,8210.05696709987,37,0.08695652173913043,54,10600,234,84,1208,4870,150,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1914,136,318,298,686.5,4,429.999086976778,38,0.05355177870057269,87,14000,231,163,1382,7960,68,NA,113,104.5,NA,10,2,73860,22800,47600.00000000001,NA,3,2
1915,136,311,264,793,6,819.9958953152933,21,0.07169129058290397,78,20600,233,145,890,5370,88,NA,172.5,NA,NA,7,NA,73860,22800,47600.00000000001,NA,2,NA
1916,163,318,622,1786.000000000001,2,459.99902322711284,40,0.06848882574476242,143,33200,175,94,734.3,8920,81,NA,171,NA,NA,2,NA,73860,22800,47600.00000000001,NA,1,NA
1917,164,313,230,398,3,1199.9936399666474,2,0.06440677966101695,58,14100,255,140,1618,6900,115,NA,145,NA,NA,3,NA,73860,22800,47600.00000000001,NA,2,NA
1918,165,302,560,1040,2,1569.9354599132625,62,0.1,83,9200,219,108,260,4500,111,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1919,214,287,160,718.0000000000007,8,1979.9759736192677,5,0.06553744997141223,70,15600,217,116,730,5325,101,NA,133,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
1920,94,301,163,714,4,295.00035053177294,2,0.1,66,11400,235,100,555,4690,135,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1921,161,319,530,2320,7,591.9978889808539,9,0.09144730020206096,67,10900,252,223,2524,6200,29,NA,109,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
1922,110,308,357.5,778.0000000000007,4,1719.991569245296,55,0.07792207792207792,62,21300,246,132,1380,7150,114,NA,230,NA,NA,2,NA,73860,22800,47600.00000000001,NA,2,NA
1923,151,317,484,655,4,595.9977200521779,4,0.06406995939856333,86,14000,231,179,2324,3890,52,NA,130,NA,NA,3,NA,73860,22800,47600.00000000001,NA,2,NA
1924,167,289,106,1220,5,1199.963563462129,7,0.07743224678406394,70,2640,219,117,539.2,1070,102,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1925,163,306,438,706.6000000000001,3,1669.9788815085446,28,0.07079646017699115,86,15500,220,130,1140,5805,90,NA,127,128,NA,3,1,73860,22800,47600.00000000001,NA,1,1
1926,122,278,210,379.40000000000003,4,1019.9910610238467,43,0.08240677018366382,79,8960,199,96,480,3170,103,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1927,204,309,1020,2171.0000000000023,3,656.6228552610478,11,0.08236471651814542,78,16900,231,197,1100,6100,34,NA,143,143,NA,7,1,73860,22800,47600.00000000001,NA,3,1
1928,203,269,400,785,3,9229.844961052788,40,0.0896093435360451,86,37200,183,36,1485,3170,147,176,175,176,2,6,3,73860,22800,47600.00000000001,1,1,1
1929,111,305,100,180,3,568.9882486549386,31,0.07142857142857142,42,9610,263,157,830,2340,106,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1930,165,303,258,500.3999999999999,NA,NA,NA,0.06754032258064516,68,6200,235,185,114.60000000000005,3200,50,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1931,133,298,111,555.8,3,475.99760921081656,2,0.11515151515151516,84,3880,214,112,614.0000000000002,1550,102,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1932,196,314,485.5,984,3,972.9979354880696,24,0.07611565321069663,81,13900,233,168,1548.9999999999998,4430,65,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1933,120,300,224.5,556,2,757.9950740342417,61,0.08048780487804878,52,9110,248,104,1261.0000000000002,3540,144,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1934,163,285,214,1252.0000000000005,4,5849.815379818649,30,0.09340659340659341,102,11600,183,129,526.4,2150,54,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1935,138,307,421.5,770,4,371.9965293997411,16,0.077206925915413,106,21300,201,119,1476,2840,82,NA,189,189,NA,2,1,73860,22800,47600.00000000001,NA,1,1
1936,162,309,520,700,7,839.9996565586918,15,0.06293706293706294,79,13400,230,151,1430,7300,79,NA,125,NA,NA,7,NA,73860,22800,47600.00000000001,NA,4,NA
1937,94,307,325,604,NA,NA,NA,0.07326007326007326,78,15900,229,124,1169.0000000000002,6330,105,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1938,189,314,811,1358.0000000000007,2,569.9982553413964,6,0.06896551724137931,64,17900,250,215,1082,7960,35,71,163,71,1,10,1,73860,22800,47600.00000000001,1,5,1
1939,153,289,214,568.8,2,1189.9978495235202,15,0.0674236017318203,84,5340,205,68,1360,4025,137,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1940,138,290,461.5,708,2,627.9967802947391,3,0.050955414012738856,104,61200,186,110,689.2,5515,76,NA,149,165.5,NA,10,3,73860,22800,47600.00000000001,NA,5,2
1941,104,308,439,801,2,1439.9958038198035,33,0.06557377049180328,80,18000,228,166,1880,6920,62,NA,133,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
1942,81,312,414,538,3,4179.921057251035,33,0.06097560975609756,60,13700,252,206,1790,6550,46,NA,127,118,NA,8,1,73860,22800,47600.00000000001,NA,3,1
1943,167,308,515,973.0000000000002,NA,NA,NA,0.06404290559192366,142,24000,166,139,646.4,4490,27,NA,112,136.5,NA,11,2,73860,22800,47600.00000000001,NA,5,2
1944,128,305,358.5,1713,4,630.0000921818344,21,0.05568235659736197,74,9450,231,122,1292.0000000000002,3330,109,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1945,71,308,269,377,2,1719.977493356268,31,0.0733839091386686,82,14000,226,159,1488,4120,67,NA,124,124,NA,2,1,73860,22800,47600.00000000001,NA,1,1
1946,98,300,388.5,572.2,NA,NA,NA,0.05734767025089606,66,9710,234,221,1680,3970,13,NA,85.5,NA,NA,3,NA,73860,22800,47600.00000000001,NA,2,NA
1947,235,287,644,1736,2,744.0024176405185,3,0.06572769953051644,69,7900,218,186,889,1860,32,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1948,174,309,539,1268.0000000000007,2,4979.811814088673,16,0.05579415031469826,66,14800,243,87,1751.9999999999998,7420,156,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1949,164,291,234.5,643,10,2669.991346154353,34,0.06569343065693431,61,14500,230,113,1396,5120,117,NA,153,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
1950,72,308,317.5,473,4,340.0018330590742,20,0.0665083135391924,71,12200,237,148,1065,6080,89,NA,128,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
1951,114,285,318.5,638.0000000000001,NA,NA,NA,0.0654949494949495,217,76400,68,54,556.9,2195,14,56.5,67,64,4,14,5,73860,22800,47600.00000000001,2,5,3
1952,116,327,517,1410,5,662.9970989585456,3,0.061540079949505576,83,21700,244,211,1850,8620,33,NA,106,NA,NA,3,NA,73860,22800,47600.00000000001,NA,3,NA
1953,142,318,500,1478,4,1879.9783449897045,45,0.06193423434802746,54,12200,264,187,2162,5240,77,NA,209,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
1954,98,296,324.5,445,5,800.9891612053426,18,0.05934718100890208,72,9260,224,130,1245,5350,94,NA,160,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
1955,70,357,552,1070,4,489.9893253532117,9,0.04963416350077389,105,9380,252,224,339,1890,28,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1956,140,348,1565,2192,3,1099.8074229874153,5,0.0486624551874881,254,24800,94,33,613,677,61,NA,107,84,NA,14,4,73860,22800,47600.00000000001,NA,3,1
1957,111,348,1600,2560,7,2579.992497362337,0,0.00943545515686197,103,9170,245,123,1190,3800,122,NA,156,NA,NA,1,NA,73860,22800,47600.00000000001,NA,1,NA
1958,196,284,1720,3745,4,3739.995006321969,45,0.04817708333333333,41,16900,243,150,2160,7695,93,NA,184,NA,NA,8,NA,73860,22800,47600.00000000001,NA,1,NA
1959,110,384,620,668,NA,NA,NA,0.043859649122807015,78,6260,306,192,1050,1605,114,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1960,19,380,538,553.4,4,1179.9978335604887,51,0.013071895424836602,80,4320,300,190,903.0000000000003,2635,110,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1961,114,380,503,609,NA,NA,NA,0.019419306184012067,48,2820,332,313,660,1140,19,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1962,103,368,2690,3990,NA,NA,NA,0.014285714285714285,204,7740,164,50,345,5060,114,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
1963,56,338,2900,3170,6,5080.003629224241,14,0.011236043713259952,102,8630,236,133,1594,4860,103,124,123,124,1,5,1,73860,22800,47600.00000000001,1,1,1
1964,60,407,1240,1460,NA,NA,NA,0.012168464004663364,84,3440,323,295,1220,2070,28,NA,NA,NA,NA,NA,NA,73860,22800,47600.00000000001,NA,NA,NA
