Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1920,196,273,0.1,4.55,4,1.5397109052070888,0,0.07692307692307693,92,138,181,54,2.8000000000000007,19,127,NA,173,NA,NA,4,NA,758.2000000000002,131,401.80000000000007,NA,3,NA
1921,161,276,0,0.1,6,14.976086395229581,18,0.14510489510489516,36,32,240,137,0.5200000000000002,5.5,103,NA,163,NA,NA,2,NA,758.2000000000002,131,401.80000000000007,NA,1,NA
1922,129,275,0,0.6,8,4.510950477311386,0,0.05555555555555555,135,105,140,69,16.020000000000014,40,71,NA,108,93,NA,12,1,758.2000000000002,131,401.80000000000007,NA,4,1
1923,116,253,0.2,0.4,NA,NA,NA,0.17647058823529416,50,24,203,165,3.5,10,38,NA,73,NA,NA,2,NA,758.2000000000002,131,401.80000000000007,NA,1,NA
1924,151,234,0,0,NA,NA,NA,0.16783216783216784,42,39,192,189,0.1,3.3,3,NA,NA,NA,NA,NA,NA,758.2000000000002,131,401.80000000000007,NA,NA,NA
1925,266,275,0.1,4,NA,NA,NA,0.31875,83,27,192,173,0.1,1,19,NA,NA,NA,NA,NA,NA,758.2000000000002,131,401.80000000000007,NA,NA,NA
1926,254,236,0,6,3,4.804050239310462,4,0.11764705882352941,43,840,193,18,0.1,0.1,175,188,186,186,2,6,4,758.2000000000002,131,401.80000000000007,2,1,1
1927,151,235,0,1.8,6,6.04817578662411,55,0.10172413793103449,92,365,143,19,3.52,6.5,124,138,136,137,1,5,2,758.2000000000002,131,401.80000000000007,1,1,1
1928,178,247,0,0,NA,NA,NA,0.3,116,43,131,111,0.2,5,20,NA,126,NA,NA,1,NA,758.2000000000002,131,401.80000000000007,NA,1,NA
1929,231,229,0,0,4,2.1003813484964233,12,0.08712121212121213,37,31,192,133,0.1,4.6,59,NA,NA,NA,NA,NA,NA,758.2000000000002,131,401.80000000000007,NA,NA,NA
