Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1916,210,323,58,173.9999999999999,NA,NA,NA,0.12340425531914893,59,2280,264,116,173,920,148,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1917,193,334,18,64.80000000000007,5,295.0030101409537,1,0.0692966763958196,72,2680,262,95,160.60000000000002,719,167,NA,253,NA,NA,10,NA,4310,2330,3610,NA,2,NA
1918,211,318,62,119,NA,NA,NA,0.08326118326118326,59,2820,259,98,112,693.5,161,NA,249,NA,NA,9,NA,4310,2330,3610,NA,1,NA
1919,223,313,25,47,5,1870.0019670504657,0,0.06969384751251104,69,3020,244,81,90,726,163,NA,236.5,NA,NA,4,NA,4310,2330,3610,NA,2,NA
1920,221,316,91,218,3,54.977401724113605,72,0.08351648351648351,71,1960,245,75,109.4,328,170,NA,231,NA,NA,2,NA,4310,2330,3610,NA,1,NA
1921,227,327,34,82.20000000000005,9,145.12391790551553,25,0.09090909090909091,58,2340,269,98,314,872.5,171,NA,258.5,NA,NA,5,NA,4310,2330,3610,NA,2,NA
1922,197,327,60,92,NA,NA,NA,0.07094109195402298,65,2280,262,74,188,1620,188,NA,237.5,NA,NA,12,NA,4310,2330,3610,NA,2,NA
1923,203,333,44,105,5,97.96946033508809,73,0.08974358974358974,55,1380,278,120,187.60000000000002,751,158,NA,253,NA,NA,1,NA,4310,2330,3610,NA,1,NA
1924,228,296,50.5,146,5,133.99980952589843,0,0.05660377358490566,71,1100,225,55,50,317,170,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1925,171,337,32,55,4,75.97778131818268,28,0.08333333333333333,78,2000,259,101,198,795,158,NA,237,NA,NA,2,NA,4310,2330,3610,NA,1,NA
1926,271,277,59,205,5,58.19739477316889,19,0.07555555555555556,43,1740,234,92,102.2,366,142,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1927,184,334,57,164,3,285.84401806859586,54,0.08293657791100922,75,2280,259,77,239.6,1170,182,NA,227,NA,NA,2,NA,4310,2330,3610,NA,1,NA
1928,232,318,16,79.80000000000001,3,195.99786313806368,26,0.08771929824561403,75,1740,243,91,91,473,152,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1929,205,317,10,59.39999999999998,NA,NA,NA,0.0741723155516259,55,1940,262,78,148,564.5,184,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1930,201,308,13,27,4,25.99958061035634,70,0.0802263251935676,55,1620,253,97,95,425,156,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1931,236,294,9.75,112.5,6,22.927560245205832,13,0.08667083854818523,69,833,225,82,34.5,192.5,143,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1932,200,331,9.5,33.19999999999999,NA,NA,NA,0.07561463693539165,62,2280,269,105,258.4,708,164,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1933,189,313,9.5,58.20000000000002,NA,NA,NA,0.10357142857142856,53,2240,260,95,82.4,346,165,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1934,217,317,57,119,5,14.999514155944867,30,0.093117774566474,95,857,222,86,76.5,298,136,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1935,216,320,22.5,119.5,7,88.97764217199821,31,0.08770559210526316,68,2420,252,84,139.8,926,168,NA,246,NA,NA,3,NA,4310,2330,3610,NA,1,NA
1936,212,331,25,149.8,NA,NA,NA,0.10406091370558376,59,2100,272,102,200.3,1280,170,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1937,221,322,41,183,NA,NA,NA,0.08652526512788522,54,1740,268,91,194,1240,177,NA,232,NA,NA,6,NA,4310,2330,3610,NA,2,NA
1938,170,345,50,107,4,5379.529156644535,71,0.08570987654320988,73,2840,272,95,257.40000000000003,1440,177,71,235,157.5,1,34,4,4310,2330,3610,1,5,2
1939,188,321,41,130.3,6,222.00097926421705,0,0.05808080808080808,77,850,244,95,60,529,149,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1940,231,325,24,205,1,213.97674407869644,2,0.07197943444730077,65,1810,260,117,155,805,143,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1941,192,344,101,181,NA,NA,NA,0.09935483870967741,64,1690,280,90,246.4,1655,190,NA,247,NA,NA,16,NA,4310,2330,3610,NA,5,NA
1942,172,342,40,159,2,296.9703373479226,32,0.0825242718446602,61,1780,281,111,272,960,170,NA,252.5,NA,NA,6,NA,4310,2330,3610,NA,4,NA
1943,179,336,22,39,7,371.9081238222308,48,0.0625,72,1660,264,116,201.5,948,148,NA,239,NA,NA,6,NA,4310,2330,3610,NA,2,NA
1944,203,339,70,154.00000000000006,NA,NA,NA,0.06742424242424241,62,1140,277,128,105.4,482.5,149,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1945,208,336,120,250,7,99.9848632948639,40,0.09090909090909091,71,2010,265,89,175,1000,176,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1946,218,325,86,166,2,169.99215393200814,15,0.08500854027066088,76,2010,249,71,240,1360,178,NA,217,NA,NA,2,NA,4310,2330,3610,NA,1,NA
1947,228,308,30,67.30000000000001,4,347.98748381711846,1,0.0675,73,1650,235,58,186.6,690.5,177,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1948,212,325,14,35.900000000000006,5,70.99723324799149,10,0.07142857142857142,69,2290,256,86,93.5,510,170,NA,238,NA,NA,2,NA,4310,2330,3610,NA,1,NA
1949,212,321,17,100,NA,NA,NA,0.08661417322834646,65,1680,256,85,77.4,994,171,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1950,65,319,14,22,NA,NA,NA,0.08173076923076923,73,2180,246,79,149.4,581,167,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1951,204,326,49,89,NA,NA,NA,0.0755952380952381,60,2080,266,248,84.80000000000001,288.5,18,49,63,49,2,8,3,4310,2330,3610,1,3,1
1952,181,337,43,107,10,51.000258353718046,58,0.08661417322834646,72,1950,265,101,101,1300,164,NA,233,NA,NA,19,NA,4310,2330,3610,NA,2,NA
1953,207,335,18,132.8,NA,NA,NA,0.07909604519774012,69,1540,266,114,102.80000000000001,446,152,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1954,212,320,22,65,NA,NA,NA,0.08152738075219998,86,2240,234,58,147.4,1080,176,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1955,104,322,4.2,16,2,37.99903614300085,46,0.08395303326810176,67,2410,255,89,119.60000000000002,349,166,NA,250,NA,NA,2,NA,4310,2330,3610,NA,1,NA
1956,187,349,45,134.8,NA,NA,NA,0.06414827003062298,74,2330,275,215,115.0000000000001,425,60,83,241,83,1,22,1,4310,2330,3610,1,7,1
1957,224,322,36,98,2,71.99886727042905,0,0.07049572335142096,70,2180,252,82,162.4,487,170,NA,245,NA,NA,3,NA,4310,2330,3610,NA,1,NA
1958,156,335,17.5,83.5,2,52.00010467185572,50,0.08193512304250558,70,2820,265,85,117.2,1440,180,NA,259,NA,NA,18,NA,4310,2330,3610,NA,3,NA
1959,195,322,13,63.599999999999994,NA,NA,NA,0.08098360655737705,70,850,252,127,64.4,384,125,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1960,197,323,18,48.400000000000006,10,81.95481255384081,0,0.0936735165088894,74,1330,249,98,76.5,439,151,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1961,231,299,27,81,5,41.09379955933602,49,0.08061670941311638,45,816,254,100,64.7,426,154,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1962,225,339,27,221.2,NA,NA,NA,0.067816091954023,73,1880,266,102,84.50000000000003,928,164,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1963,191,334,49,110,10,66.99733329909314,13,0.09950512548603747,70,2620,264,66,203.5,1155,198,NA,190.5,123,NA,6,1,4310,2330,3610,NA,2,1
1964,97,330,15,79.4,5,127.99164119612851,36,0.08256880733944955,68,910,262,103,84.4,376,159,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1965,162,352,60,117,8,35.959360167327304,31,0.09054373522458628,84,1680,268,207,132.20000000000005,250,61,83,168,83,2,4,2,4310,2330,3610,1,2,1
1966,280,291,87.5,240.2,10,252.95135287153036,48,0.07079646017699115,58,1360,233,85,75.6,655,148,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1967,180,353,44.5,115.09999999999994,3,520.9716889200096,59,0.10588235294117647,76,3900,277,72,201.20000000000002,1925,205,NA,245,272,NA,30,3,4310,2330,3610,NA,2,1
1968,205,325,75,150.6,NA,NA,NA,0.07142857142857142,80,1280,245,78,101.7,460,167,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1969,182,339,74,207.70000000000002,3,267.950802641859,33,0.07850885953148629,92,4280,247,83,131.8,1020,164,NA,238.5,241,NA,33,7,4310,2330,3610,NA,2,1
1970,194,330,70.5,166,3,264.9718852482431,15,0.06756756756756757,57,1240,273,118,198,582,155,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1971,167,333,38,76,2,186.01173472541996,56,0.06433064578951468,71,1890,262,104,122.30000000000001,464,158,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1972,225,316,79,137,3,190.91433387028997,42,0.09615384615384616,61,2050,255,121,99,378,134,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1973,248,297,128,279,NA,NA,NA,0.08163265306122448,51,3610,246,71,148,1020,175,NA,239,242,NA,16,1,4310,2330,3610,NA,3,1
1974,229,332,34,126.40000000000003,2,1699.8299862774427,41,0.08894665461121157,79,2760,253,74,311.8,916.5,179,NA,235.5,NA,NA,11,NA,4310,2330,3610,NA,4,NA
1975,232,317,45.5,115.70000000000002,3,49.0500301158373,64,0.08185053380782918,65,3240,252,57,173.4,1120,195,NA,232.5,243,NA,25,2,4310,2330,3610,NA,2,1
1976,246,285,14.5,54,2,215.86664334280073,10,0.06686046511627906,55,1240,230,47,113.6,321,183,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
1977,252,308,14,237.50000000000009,12,92.98979916330592,3,0.0971675845790716,53,1120,255,90,30,206.5,165,NA,NA,NA,NA,NA,NA,4310,2330,3610,NA,NA,NA
