Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
2000,NA,178,NA,NA,NA,NA,NA,NA,0.19282511210762332,0.3275862068965517,17,845,161,NA,NA,NA,NA,NA,151,NA,NA,5,NA,1412,688,1136.0000000000007,NA,3,NA,42.717240437158445,wet year
2001,216,202,0.6,4.668000000000003,NA,NA,NA,0,NA,NA,0,7.5,202,101,2.7,3.6,101,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,2.3021369863013703,dry year
2002,301,136,0.735,14.6,3,18.7,6,18.095,0.0902892825283548,0.7935123042505592,25,471,111,58,1.372,120,53,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,41.35298630136986,mod year
2003,221,223,0.36,7.641000000000006,5,83.3,40,82.56,0.1630859308897688,0.33146067415730335,8,178,215,143,2.153,6.074999999999999,72,NA,77,NA,NA,1,NA,1412,688,1136.0000000000007,NA,1,NA,17.515424657534233,mod year
2004,242,210,0.26,1.7700000000000018,NA,NA,NA,0,0.3364293085655315,0.8014925373134327,6,96.9,204,125,1.5350000000000001,3.32,79,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,5.975355191256833,dry year
2005,229,212,0.8,11.269999999999994,NA,NA,NA,0,0.02128328658222116,0.8260000000000001,18,313,194,107,14.6,125,87,NA,133,NA,NA,2,NA,1412,688,1136.0000000000007,NA,2,NA,74.75268493150682,wet year
2006,189,258,1.15,6.108999999999999,NA,NA,NA,0,0.006079083518107908,0.6475138121546962,51,384,207,131,14.83,74.2,76,NA,93,186,NA,5,1,1412,688,1136.0000000000007,NA,4,1,105.6847945205479,wet year
2007,283,158,0.54,5.161000000000002,2,22.6,74,21.41,0.25739863865048834,0.6337078651685393,8,445,150,68,3.218,5.69,82,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,7.779671232876708,dry year
2008,222,225,0.47,17,NA,NA,NA,0,0.003984063745019977,0.007874015748031468,5,25.5,220,144,1.2580000000000002,11.7,76,NA,147,NA,NA,1,NA,1412,688,1136.0000000000007,NA,1,NA,12.247158469945353,mod year
2009,268,178,0.76,5.732000000000001,NA,NA,NA,0,0.08503401360544217,0.23048327137546468,5,29.4,173,91,2.2760000000000002,4.615,82,NA,154,155,NA,2,1,1412,688,1136.0000000000007,NA,1,1,11.837534246575343,mod year
2010,233,209,1.0350000000000001,9.242000000000003,NA,NA,NA,0,0.1650937950937951,0.46068376068376066,15,166,194,113,2.427,21.85,81,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,17.538301369863014,mod year
2011,268,207,1.25,22.240000000000055,NA,NA,NA,0,0.0259009009009009,0.44532803180914515,30,1460,177,100,3.5,22.5,77,177,148,177,1,16,5,1412,688,1136.0000000000007,1,3,1,75.98128767123285,wet year
2012,227,215,1.255,4.872000000000006,NA,NA,NA,0,0.14726544770796862,0.1653543307086614,5,12.7,210,100,0.98,2.42,110,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,4.052814207650273,dry year
2013,364,116,0.88,4.644000000000002,8,750,63,748.71,0.027581758858790502,0.6985559566787004,32,1090,84,7,7.754,23.35,77,NA,73.5,NA,NA,2,NA,1412,688,1136.0000000000007,NA,2,NA,24.34723287671233,mod year
2014,281,213,0.62,6.045000000000003,NA,NA,NA,0,0.017021276595744695,0.2269736842105263,5,3.04,208,93,1.143,1.915,115,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,1.438684931506849,dry year
2015,309,137,1.4249999999999998,3.0320000000000005,2,618,73,617.38,0.23353293413173645,0.7138263665594855,5,93.3,132,3,4.749,7.29,129,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,7.307945205479452,dry year
2016,259,188,1.73,15.42,NA,NA,NA,0,0.06756377346382156,0.5666131621187801,20,555,168,87,5.689,31.299999999999997,81,NA,165,NA,NA,2,NA,1412,688,1136.0000000000007,NA,1,NA,49.56461748633882,wet year
2017,252,206,1.88,13.180000000000007,4,98.9,72,97.155,0.033458289039333074,0.24680851063829787,50,911,156,74,5.53,875,82,116.5,100,102,7,54,16,1412,688,1136.0000000000007,4,3,5,218.3613972602741,wet year
2018,237,204,0.83,4.553,NA,NA,NA,0,0.1299435028248587,0.22264150943396221,5,26.5,199,106,3.6980000000000004,8.26,93,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,8.814794520547949,dry year
2019,282,190,13.9,30.040000000000006,NA,NA,NA,0,0.07119205298013241,0.2152777777777778,32,234,158,82,3.6640000000000006,50.3,76,NA,127,NA,NA,1,NA,1412,688,1136.0000000000007,NA,1,NA,46.02471232876709,wet year
2020,285,198,7.77,12.1,2,90.5,69,76.6,0.13612810395204927,0.4418604651162791,10,238,188,81,15.11,16,107,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,14.003825136612022,mod year
2021,263,175,7.86,11.570000000000002,NA,NA,NA,0,0.07978723404255318,0.23465703971119134,5,28.6,170,52,12.82,14.3,118,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,10.413397260273973,dry year
2022,352,99,7.38,18.78,2,180,25,172.14,0.16923076923076924,0.5774378585086042,11,523,88,15,12.405000000000001,45.3,73,NA,NA,NA,NA,NA,NA,1412,688,1136.0000000000007,NA,NA,NA,19.388520547945202,mod year
2023,NA,199,16.3,33.32000000000001,3,414,72,406.595,0.14060684879497248,0.2828828828828829,18,555,181,95,40.35,253,86,92,92,92,11,24,13,1412,688,1136.0000000000007,5,5,5,163.2209315068493,wet year
