Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1984,256,156,7.05,63,1,41.99987219871038,0,0.04752941176470588,67,2800,89,53,60.8,208,36,NA,85,NA,NA,1,NA,4130,1620,2890,NA,1,NA
1985,230,254,2.5,22.099999999999994,4,26.000453091022294,39,0.07417582417582418,73,268,181,135,16.4,33,46,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1986,239,244,7.1,11,3,188.98387834904935,64,0.06,99,3570,145,27,34.60000000000001,206,118,137,150.5,138,1,10,4,4130,1620,2890,1,2,2
1987,228,224,2,3.6,NA,NA,NA,0.08347826086956522,55,97,169,52,7.71,30,117,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1988,306,189,2.5,4,3,3.103455138697269,27,0.07080200501253131,75,152,114,28,3.77,23.5,86,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1989,229,255,1.8,2.8400000000000034,NA,NA,NA,0.10606060606060595,75,80,180,51,8.8,20,129,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1990,317,199,1.6,2.8,7,3.3020117447197532,24,0.09600614439324116,54,143,145,27,5.199999999999999,18,118,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1991,271,218,2.8,20,NA,NA,NA,0.0880281690140845,39,1440,179,29,1.9400000000000004,131,150,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1992,234,218,3.1,10.700000000000017,NA,NA,NA,0.06439393939393939,75,711,143,20,15.9,243.5,123,NA,137,NA,NA,1,NA,4130,1620,2890,NA,1,NA
1993,246,231,5.3,27,NA,NA,NA,0.046940024479804165,79,1130,152,66,128,322,86,NA,122.5,105,NA,4,1,4130,1620,2890,NA,2,1
1994,257,200,2.9,13,2,11.076654867962764,75,0.06904761904761905,54,415,146,35,8.000000000000002,40,111,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1995,264,206,11,114.70000000000002,NA,NA,NA,0.06804733727810651,29,2310,177,86,104.5,367.5,91,130.5,144,130.5,3,7,3,4130,1620,2890,2,4,2
1996,210,219,10,48.099999999999994,8,65.99982369125166,75,0.049487899936553975,59,691,160,56,76,282,104,NA,142,NA,NA,1,NA,4130,1620,2890,NA,1,NA
1997,274,183,11,54.400000000000034,NA,NA,NA,0.037990196078431376,62,2650,121,58,30.4,365,63,NA,104.5,NA,NA,4,NA,4130,1620,2890,NA,2,NA
1998,192,279,34,57.80000000000001,4,72.9973237016883,56,0.031695800683142455,145,5110,134,43,264.8,582,91,127,133.5,126.5,3,14,6,4130,1620,2890,2,2,2
1999,179,292,7.7,11,6,58.994730428405425,58,0.040161290322580645,95,426,197,92,85.5,140.5,105,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2000,213,249,13,22,NA,NA,NA,0.04929577464788732,100,951,149,44,32,174,105,NA,136,NA,NA,1,NA,4130,1620,2890,NA,1,NA
2001,153,263,6.1,13,5,27.984798798931287,28,0.04083333333333333,104,1730,159,63,53.2,116,96,NA,155,NA,NA,1,NA,4130,1620,2890,NA,1,NA
2002,142,290,4.715,23.160000000000007,NA,NA,NA,0.037037037037037035,192,439,98,48,14.45,69.15,50,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2003,168,280,8.635000000000002,15.410000000000007,5,274.9430946905345,39,0.04582651391162036,187,624,93,27,17.76,269,66,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2004,219,218,7.84,22.8,NA,NA,NA,0.042758552447361,65,944,153,71,32.8,65.4,82,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2005,161,280,10.1,17.7,4,16.498723830613248,28,0.03389830508474576,102,879,178,107,30.160000000000004,252,71,NA,95,NA,NA,2,NA,4130,1620,2890,NA,2,NA
2006,171,274,10.5,18.5,NA,NA,NA,0.04332129963898917,82,1240,192,117,52.68,132,75,NA,167.5,NA,NA,4,NA,4130,1620,2890,NA,2,NA
2007,218,236,2.67,6.321000000000001,3,24.91895889816734,70,0.04878048780487799,82,234,154,75,13,20.3,79,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2008,250,227,5.63,14.51,NA,NA,NA,0.04319291819291815,102,500,125,37,5.406,86.9,88,NA,119,NA,NA,1,NA,4130,1620,2890,NA,1,NA
2009,231,235,18.4,57.4,NA,NA,NA,0.04,77,1940,158,47,15.560000000000002,60.7,111,NA,154,NA,NA,1,NA,4130,1620,2890,NA,1,NA
2010,157,284,14.9,27.040000000000006,5,1189.8536085587402,13,0.02973243752946729,77,370,207,107,150.8,301,100,NA,111,NA,NA,1,NA,4130,1620,2890,NA,1,NA
2011,171,302,17.3,20.2,NA,NA,NA,0.04592319215351523,122,1570,180,105,53.7,208,75,NA,172,NA,NA,3,NA,4130,1620,2890,NA,2,NA
2012,153,266,5.48,6.974000000000001,NA,NA,NA,0.05410122164048856,66,200,200,93,23.7,38,107,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2013,333,173,3.04,20.980000000000008,NA,NA,NA,0.03816793893129771,80,327,93,40,4.788,65.65,53,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2014,171,254,1.92,3.45,NA,NA,NA,0.05442176870748292,95,77.6,159,19,2.182,7.31,140,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2015,257,202,5.04,18.14,2,4.146830720561654,31,0.036544850498338916,65,270,137,78,6.161,33.95,59,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2016,200,250,6.8149999999999995,21.7,NA,NA,NA,0.04464833367409528,81,1130,169,76,51.5,82.75,93,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2017,272,240,18.9,40.99,2,14.073717742420387,30,0.043859649122807015,93,5380,147,63,55.28,704,84,142,130,102,2,13,5,4130,1620,2890,1,5,3
2018,183,277,5.58,30.68000000000009,NA,NA,NA,0.04241296610008183,100,1080,177,31,23,144,146,NA,172,NA,NA,1,NA,4130,1620,2890,NA,1,NA
2019,204,216,17.85,83.87000000000005,2,44.498600044313804,59,0.04468729978808339,76,3670,140,46,130,291.5,94,NA,125,136,NA,6,1,4130,1620,2890,NA,3,1
2020,190,283,7.46,8.700999999999999,NA,NA,NA,0.04598315589960212,88,366,195,141,40.8,90.2,54,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2021,186,248,3.07,6.25,NA,NA,NA,0.04247104247104239,123,350,125,18,8.52,8.739999999999998,107,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2022,307,143,4.97,24.82000000000001,8,12.996103275253903,24,0.04171392173007918,52,629,91,23,7.276,189,68,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
2023,211,239,12.8,77.1,2,1149.9803916718276,71,0.046218487394957986,63,1730,176,92,140.4,460,84,100,134.5,105,1,13,4,4130,1620,2890,1,6,3
