Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1958,220,238,2.2,31.099999999999994,3,8.188515159591425,66,0.0673076923076923,50,4800,188,76,165,516.5,112,184,182,183,1,7,3,4130,1620,2890,1,1,1
1959,282,194,0,5.780000000000001,5,7.820265626408245,33,0.0625,47,613,147,55,18.6,40,92,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1960,174,248,0,0,NA,NA,NA,0.1191683569979716,112,585,136,26,8.2,38.5,110,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1961,254,235,0,0,NA,NA,NA,0.18750000000000003,106,16,129,73,0,4.2,56,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1962,264,213,1.9,14.700000000000017,NA,NA,NA,0.06060606060606061,69,674,144,21,1.2,352,123,NA,134.5,NA,NA,2,NA,4130,1620,2890,NA,2,NA
1963,138,259,1.15,19,2,24.000064425380092,14,0.051893408134642355,56,528,203,92,10.269999999999975,203,111,NA,122,122,NA,2,2,4130,1620,2890,NA,1,1
1964,185,258,0,0.3,NA,NA,NA,0.10810810810810811,136,197,122,91,10,19,31,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1965,173,237,0,9.1,NA,NA,NA,0.0641025641025641,35,251,202,125,36,79,77,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1966,239,184,0,3.8400000000000034,NA,NA,NA,0.05945839874411303,50,153,134,90,16.9,48.5,44,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1967,199,280,0.29,1,NA,NA,NA,0.06,71,915,209,152,25,156,57,NA,116,NA,NA,2,NA,4130,1620,2890,NA,2,NA
1968,237,231,0,0,22,1.0994765759870964,66,0.16666666666666663,43,61,188,75,0.622,30,113,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1969,197,247,0.51,22.400000000000006,NA,NA,NA,0.0568331946958947,97,3220,150,48,107.2,1040,102,NA,129,131,NA,12,3,4130,1620,2890,NA,4,2
1970,212,205,0.07,22.900000000000006,2,1.5858017198257106,40,0.052305449243666854,46,635,159,81,49,112,78,NA,107,NA,NA,1,NA,4130,1620,2890,NA,1,NA
1971,170,272,0,0.23599999999999965,NA,NA,NA,0.06666666666666667,185,281,87,36,0,95,51,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1972,244,219,0,39.70000000000002,NA,NA,NA,0.14285714285714288,85,105,134,58,1.9300000000000004,36.5,76,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1973,192,253,1.1,37,3,293.9595192912138,46,0.046785225718194254,99,1480,154,57,136.2,418,97,NA,133,NA,NA,1,NA,4130,1620,2890,NA,1,NA
1974,220,260,1,23.099999999999994,4,78.98753272933624,48,0.04918032786885246,73,1320,187,108,66.4,181,79,NA,152,NA,NA,1,NA,4130,1620,2890,NA,1,NA
1975,NA,260,NA,NA,2,3.135489396437457,28,0.04628212974296206,84,1120,176,62,18.1,344.5,114,NA,140.5,124,NA,3,1,4130,1620,2890,NA,2,1
1976,NA,252,NA,NA,9,2.381417335420087,29,0.14545454545454556,93,29,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,183,279,3.3,20.80000000000001,NA,NA,NA,0.047619047619047616,120,2320,159,80,80.7,343.5,79,NA,142.5,NA,NA,8,NA,4130,1620,2890,NA,4,NA
1979,184,262,1.3,13.700000000000017,4,22.99722597580295,21,0.050862068965517246,76,385,186,90,59.8,109.5,96,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1980,233,241,4.5,42.80000000000001,6,31.021270136760855,48,0.04266826923076923,93,2250,148,68,90.9,181,80,141,121,140,1,9,4,4130,1620,2890,1,2,1
1981,189,254,1.5,68.20000000000002,2,8.74320260142175,14,0.049193548387096775,74,374,180,72,32.2,100.5,108,NA,NA,NA,NA,NA,NA,4130,1620,2890,NA,NA,NA
1982,166,276,2.45,74.5,8,8.040800450405088,6,0.04201680672268908,80,3430,196,119,122.60000000000002,232,77,NA,144,144,NA,3,2,4130,1620,2890,NA,2,2
1983,119,283,15,43,2,381.9970278610906,49,0.04938271604938271,124,2450,159,83,86,625,76,151,150,133,3,20,7,4130,1620,2890,1,7,4
