Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,5.386883852691218,dry year
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,17.21836477987421,mod year
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,0.47,dry year
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,7.4801453488372,dry year
2001,640,163,0.75,1.3,NA,NA,NA,0,0.19148936170212774,0.7317073170731707,7,41,156,55,1,1.55,101,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,1.219178082191781,dry year
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,15.539761904761889,mod year
2003,217,225,0.195,2.914000000000002,3,55.8,40,54.54,0.105111650664018,0.30614035087719305,16,114,209,136,1.116,3.28,73,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,8.62108938547486,mod year
2004,NA,205,0.08,0.60599999999999965,NA,NA,NA,0,0.7687188019966722,0.9122302158273381,3,96.8,202,125,0.765,1.74,77,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,2.4101373626373626,dry year
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,15.666973684210529,mod year
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,25.05852112676056,wet year
2007,298,158,0.26,3.8919999999999995,2,26.9,74,26.119999999999997,0.21067415730337077,0.6120906801007556,9,451,149,67,2.95,5.62,82,NA,149,NA,NA,2,NA,1162,289,776.8,NA,1,NA,7.309150684931509,dry year
2008,236,214,0.11,18.4,NA,NA,NA,0,0.0537255523002613,0.14619883040935683,5,34.6,209,118,1.984,11.7,91,NA,147,NA,NA,2,NA,1162,289,776.8,NA,1,NA,11.710956284153008,mod year
2009,264,178,0.33,4.873999999999999,NA,NA,NA,0,0.12195121951219502,0.2838427947598253,5,27,173,88,0.796,1.77,85,NA,154,154,NA,2,2,1162,289,776.8,NA,1,1,9.936493150684933,mod year
2010,233,209,0.765,7.291,NA,NA,NA,0,0.16666666666666666,0.46319444444444446,15,187,194,117,1.588,14.100000000000001,77,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,15.609972602739731,mod year
2011,243,232,0.46,4.517000000000006,4,13,59,12.2,0.048296257244653945,0.4419134396355353,55,1190,177,100,2.27,19.4,77,177,119,173,1,20,12,1162,289,776.8,1,4,2,66.74178082191779,wet year
2012,226,215,0.96,3.532000000000002,NA,NA,NA,0,0.08260869565217395,0.19012605042016803,5,9.52,210,100,0.48,1.32,110,NA,NA,NA,NA,NA,NA,1162,289,776.8,NA,NA,NA,3.2809836065573763,dry year
2013,400,115,0.57,3.61,7,464,63,463.03,0.024817716031136073,0.33801020408163274,28,287,87,11,3.8100000000000005,23.1,76,NA,73.5,84,NA,3,1,1162,289,776.8,NA,2,1,20.75745205479452,wet year
