Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1985,194,228,14,86.70000000000002,NA,NA,NA,0.04943548824838517,42,2460,186,162,160.3,507,24,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1986,191,247,40,321,2,795.9883628731883,22,0.08222183812020473,84,5880,163,107,208.8,1150,56,139,137,139,1,5,1,22659.999999999996,14100,20680,1,1,1
1987,212,205,13,93.80000000000001,5,132.9998819760889,0,0.07211538461538461,38,6400,167,95,417.8,1010,72,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1988,127,276,10,44.20000000000002,NA,NA,NA,0.05839727195225916,151,1480,125,74,90.10000000000001,1105,51,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1989,183,200,27,250.2000000000001,NA,NA,NA,NA,NA,890,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1990,167,293,21,74.4,NA,NA,NA,0.06666666666666667,47,4870,246,229,58,230,17,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1991,168,273,13.5,87.00000000000011,5,99.9990195531474,31,0.056649149372049526,39,510,234,140,79.9,371,94,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1992,178,246,15,96.30000000000013,8,138.99044644515746,26,0.05896841495218777,43,3890,203,128,179,516.5,75,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1993,144,278,20.5,70.80000000000007,4,626.9969009042576,31,0.08620689655172414,32,4700,246,188,593.9,1400,58,111,111,111,1,1,1,22659.999999999996,14100,20680,1,1,1
1994,147,269,8,34.400000000000006,NA,NA,NA,0.04946219035202086,37,494,232,176,169.5,387,56,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1995,176,247,16,137.5,5,366.99648817240666,39,0.07095083936855456,31,2760,216,166,528.5,1445,50,100,135,129.5,1,5,2,22659.999999999996,14100,20680,1,4,2
1996,147,263,17,94.20000000000002,NA,NA,NA,0.06697680214325766,25,1510,238,181,400,1260,57,NA,72,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
1997,174,233,32.5,125.70000000000002,3,216.99956326710904,25,0.06779661016949153,77,1870,156,112,483.40000000000003,967.5,44,92,69,91,1,5,2,22659.999999999996,14100,20680,1,3,1
1998,134,273,16,71.4,2,327.99631507224615,8,0.06110074626865672,29,1350,244,203,408.8,1220,41,NA,108,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
1999,137,264,13,53.400000000000006,NA,NA,NA,0.053297840875480625,25,493,239,198,347.8,1115,41,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2000,157,265,14,50.80000000000001,9,179.99951642151396,28,0.06401967033967762,38,598,227,192,184.2,610,35,NA,136,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
2001,147,258,7,37,6,486.9548701271454,29,0.05,52,975,206,150,129.1,510.5,56,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2002,208,223,8.265,99.27000000000004,NA,NA,NA,0.05555555555555555,20,404,203,164,336.8,1015,39,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2003,166,256,13.75,95.1,4,1419.9906758752802,40,0.06748073503260225,42,6310,214,149,349,1480,65,NA,76,76,NA,4,1,22659.999999999996,14100,20680,NA,3,1
2004,181,239,15.6,86.8,NA,NA,NA,0.0625,31,1240,208,152,331.6,1245,56,NA,139,139,NA,1,1,22659.999999999996,14100,20680,NA,1,1
2005,118,300,18.15,141.79999999999998,4,347.9958569476387,19,0.06,36,2790,264,210,291,926.5,54,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2006,153,249,12.2,83.02000000000002,2,498.9962375009524,34,0.06697819314641744,48,3020,201,149,380.40000000000003,2010,52,NA,89,88,NA,3,1,22659.999999999996,14100,20680,NA,2,1
2007,178,247,22.8,91.63,NA,NA,NA,0.05333333333333334,28,740,219,183,170.79999999999998,668,36,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2008,186,256,14.850000000000001,88.05,5,1259.9786034461372,18,0.051546391752577324,46,796,210,151,317,963,59,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2009,190,245,23.95,160.7999999999999,6,70.80346717976522,4,0.07391817222325697,25,6840,220,144,175.8,725.5,76,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2010,96,289,15.350000000000001,40.85,5,571.993916713132,14,0.05601344621513944,38,1280,251,182,549,1020,69,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2011,183,286,42,154.40000000000003,NA,NA,NA,0.04878048780487805,38,846,248,229,302.2,906,19,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2012,167,241,21.2,98.34,3,154.99925515076916,5,0.06278745644599304,42,3280,199,96,326.5,1020,103,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2013,268,216,23.05,74.94000000000003,NA,NA,NA,0.06785629967734319,23,1700,193,151,319,624,42,NA,62,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
2014,189,218,9.71,114.40000000000003,6,268.99110473504044,51,0.0752212389380531,34,4130,184,66,55.35,812,118,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2015,199,227,6.79,41.42000000000001,4,1619.9879891121159,25,0.07456140350877193,94,13500,133,92,207.9,655.5,41,NA,128,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
2016,125,251,9.07,46.680000000000014,NA,NA,NA,0.05714285714285714,42,997,209,149,348.6,1410,60,NA,108,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
2017,157,240,17.3,121.80000000000001,NA,NA,NA,0.07756232686980609,35,3620,205,195,629.4,1620,10,NA,101,NA,NA,5,NA,22659.999999999996,14100,20680,NA,5,NA
2018,169,269,8.9,126.00000000000009,NA,NA,NA,0.05372986393117651,76,3840,193,162,134.3,814.5,31,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2019,159,261,17.1,57.840000000000046,9,793.9874779251292,54,0.07214599587480944,25,2860,236,164,260.8,1035,72,NA,142.5,NA,NA,2,NA,22659.999999999996,14100,20680,NA,2,NA
2020,162,274,8.535,46.64000000000001,NA,NA,NA,0.06057692307692305,39,1560,235,181,103,346,54,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2021,137,244,5.84,31.1,4,338.9906980907837,49,0.04424778761061947,71,1460,173,103,194.60000000000002,704,70,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2022,153,271,13,62.24000000000002,NA,NA,NA,0.07535121328224766,45,979,226,211,90.4,303,15,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
2023,170,254,16.75,74.69999999999999,4,211.99831130210742,38,0.0661800486618005,41,1170,213,155,374.2,1000,58,NA,163,NA,NA,2,NA,22659.999999999996,14100,20680,NA,1,NA
