Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1951,153,250,18,66.80000000000001,NA,NA,NA,0.059456661430815363,31,1180,219,200,229.60000000000002,951,19,NA,28,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
1952,163,261,14,85.00000000000006,2,97.99957487166645,2,0.054920196053789117,37,1630,224,187,578.4000000000001,1210,37,NA,123,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
1953,122,282,34,78.40000000000003,NA,NA,NA,0.06299212598425197,28,1440,254,196,407.5,920,58,NA,104.5,NA,NA,2,NA,22659.999999999996,14100,20680,NA,2,NA
1954,172,228,25,104,2,282.9988182787934,18,0.06593406593406594,38,7610,190,152,441.5,1070,38,NA,113,107,NA,3,1,22659.999999999996,14100,20680,NA,2,1
1955,146,264,17.5,44.5,4,133.99586097266086,19,0.06951871657754011,57,2040,207,173,270.2,524,34,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1956,195,268,39,278.39999999999986,NA,NA,NA,0.05737704918032787,95,1290,173,129,482.8,1620,44,112.5,106,81,2,8,4,22659.999999999996,14100,20680,2,3,3
1957,138,265,35,528.9,6,372.0470027205603,26,0.07333425173348027,31,4580,234,137,330.8,785,97,NA,146,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
1958,214,229,40,210.2000000000001,6,2579.9818554204726,9,0.08203125,32,2370,197,160,226.20000000000002,2080,37,NA,120,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
1959,255,219,21,104,2,553.9870668933399,44,0.05333333333333334,35,2300,184,107,339.20000000000005,948,77,NA,101.5,NA,NA,2,NA,22659.999999999996,14100,20680,NA,2,NA
1960,138,267,16,62.599999999999994,NA,NA,NA,0.06686032077064402,25,5500,242,134,310,666,108,NA,130,NA,NA,2,NA,22659.999999999996,14100,20680,NA,1,NA
1961,150,265,19,58.19999999999999,10,35.23189752173777,7,0.06960866138081329,39,3360,226,187,196,856,39,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1962,122,248,22,70.80000000000001,8,233.99548053272866,27,0.057088122605363986,35,646,213,164,193.9,672.5,49,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1963,109,264,22,67.80000000000001,NA,NA,NA,0.047619047619047616,42,2110,222,218,147,722.5,4,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1964,179,237,20,117.2000000000001,NA,NA,NA,0.046875,67,1020,170,163,182.2,641,7,NA,111,111,NA,1,1,22659.999999999996,14100,20680,NA,1,1
1965,173,225,20,109.60000000000002,5,2779.908484556886,42,0.08644278606965174,21,8000,204,154,190,1110,50,81,81,81,2,3,2,22659.999999999996,14100,20680,1,1,1
1966,168,237,14,72.20000000000005,NA,NA,NA,0.04929577464788732,40,1750,197,165,148.60000000000002,943,32,NA,95,95,NA,2,1,22659.999999999996,14100,20680,NA,1,1
1967,156,266,26,61.5,NA,NA,NA,0.059113300492610835,41,1630,225,186,183.5,980,39,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1968,177,215,24,120,5,130.89313082449996,2,0.059233449477351915,44,4390,171,115,270.6,991,56,NA,105,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
1969,178,254,29,99.80000000000007,2,289.99656068841523,12,0.05508760107816711,28,707,226,200,515.3000000000001,1245,26,NA,103,NA,NA,4,NA,22659.999999999996,14100,20680,NA,3,NA
1970,210,187,25,161.39999999999998,3,717.9965228021592,16,0.09090909090909091,25,2650,162,96,650,1485,66,NA,114,81,NA,4,1,22659.999999999996,14100,20680,NA,3,1
1971,167,235,32,141.60000000000002,NA,NA,NA,0.06086956521739131,33,1640,202,171,390,1240,31,NA,107,NA,NA,3,NA,22659.999999999996,14100,20680,NA,3,NA
1972,185,242,35,384.6,5,118.99982597212876,0,0.06320196038390852,44,2100,198,162,391.8,1135,36,NA,120,NA,NA,1,NA,22659.999999999996,14100,20680,NA,1,NA
1973,155,228,24,94.19999999999999,4,150.99921147100775,11,0.05028194048604088,42,1400,186,125,284.4,1340,61,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1974,200,225,25,133.1,NA,NA,NA,0.06374501992031872,41,16600,184,167,513.2,2130,17,107,120,107,1,5,1,22659.999999999996,14100,20680,1,4,1
1975,142,244,23,112.40000000000003,9,61.999587120553855,28,0.058693244739756366,34,3130,210,151,309,1180,59,168,168,168,1,1,1,22659.999999999996,14100,20680,1,1,1
1976,257,236,20,83.80000000000001,6,259.9897135031448,10,0.05721064500636863,40,1910,196,176,201,499,20,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1977,129,279,14,222.8,5,110.98897589095222,45,0.05263157894736842,52,202,227,100,50,178,127,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1978,210,249,26.5,103.19999999999999,2,782.9841649008863,29,0.05214723926380368,18,772,231,189,389,1130,42,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1979,125,255,14,57.400000000000034,14,183.99822512854257,51,0.06293706293706294,32,2380,223,130,147.9,778,93,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1980,171,245,19,82,NA,NA,NA,0.054150154714727755,19,562,226,212,297.3,858.5,14,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1981,122,267,13,54.70000000000002,5,82.00041161492163,14,0.05733054643177068,32,562,235,185,119.4,454,50,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
1982,156,253,22,109,5,437.98969913114536,9,0.0527448869752422,55,10500,198,175,520.2,1390,23,NA,62,NA,NA,3,NA,22659.999999999996,14100,20680,NA,2,NA
1983,129,264,38,102.80000000000001,2,1209.991021891685,29,0.05357142857142857,51,2870,213,170,508.80000000000007,1965,43,NA,96.5,NA,NA,2,NA,22659.999999999996,14100,20680,NA,2,NA
1984,149,241,24,141.80000000000007,NA,NA,NA,0.0744466800804829,22,1230,219,192,312.2,1075,27,NA,NA,NA,NA,NA,NA,22659.999999999996,14100,20680,NA,NA,NA
