Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1928,326,250,41,63,NA,NA,NA,0,0.01818181818181818,0.25,10,96,240,15,91,96,225,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,45.862841530054695,mod year
1929,NA,233,0,24,NA,NA,NA,0,0.32262845849802374,0.75,7,96,226,15,46.5,87.5,211,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,26.726849315068513,mod year
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,13.788461538461533,mod year
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.059541984732824425,dry year
2003,NA,276,NA,NA,NA,NA,NA,NA,0.21428571428571436,0.375,21,0.31,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.10347945205479452,dry year
2004,244,207,0.05,0.07,NA,NA,NA,0,0.7664473684210525,0.9943661971830986,3,100,204,123,0.03,0.05,81,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,1.1205464480874334,dry year
2005,241,208,0.06,0.12,NA,NA,NA,0,0.00423728813559322,0.9989622641509434,14,243,194,108,0.08,0.14,86,NA,167.5,NA,NA,44,NA,2800,205,1652,NA,4,NA,36.883534246575316,mod year
2006,538,270,0.07,0.11,NA,NA,NA,0,0.007722122838401908,0.9981744421906693,39,313,231,147,0.07,0.1,84,NA,181,NA,NA,67,NA,2800,205,1652,NA,1,NA,62.362849315068544,wet year
2007,NA,207,NA,NA,NA,NA,NA,NA,0.20000000000000004,0.2941176470588236,58,0.17,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.04567123287671231,dry year
2008,NA,282,0.04,0.06,NA,NA,NA,0,0.016528925619834652,0.6415441176470588,45,16.6,237,159,0.06,0.08,78,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,3.346065573770493,dry year
