Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1951,152,293,14,74.30000000000004,NA,NA,NA,0.03478523895946763,131,167,162,141,21,131,21,NA,48,NA,NA,3,NA,3139.9999999999995,1280,2764,NA,1,NA
1952,193,230,26,64,3,42.97858457621278,24,0.03898768809849521,56,815,174,95,177.8,306,79,NA,134.5,106,NA,11,1,3139.9999999999995,1280,2764,NA,4,1
1953,175,289,21,25,2,95.98853716200674,45,0.028991596638655463,76,246,213,156,56,89,57,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1954,107,293,12,16.400000000000006,2,110.95533031725476,44,0.037037037037037035,80,120,213,115,31,86,98,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1955,137,287,15,20,NA,NA,NA,0.03333333333333333,79,107,208,174,19.3,58.5,34,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1956,159,299,13,20,5,31.00750990057909,44,0.034482758620689655,149,640,150,92,29,271,58,83,99.5,83,1,5,1,3139.9999999999995,1280,2764,1,2,1
1957,193,284,19,57.80000000000001,5,25.99478965761262,29,0.045454545454545456,49,258,235,143,22,43,92,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1958,204,244,21,48.70000000000002,5,37.99808358510785,12,0.0377373417721519,56,3260,188,77,184.8,516,111,184,182,184,1,7,1,3139.9999999999995,1280,2764,1,1,1
1959,265,198,13,26.599999999999994,NA,NA,NA,0.04752765861368255,53,410,145,63,16,41,82,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1960,106,285,8.8,11,NA,NA,NA,0.047619047619047616,71,69,214,117,32.6,54,97,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1961,188,285,5.8,19,NA,NA,NA,0.07019704433497533,51,16,234,209,13,21,25,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1962,261,216,21,42,4,223.98332807995845,62,0.03636363636363636,55,509,161,54,18,188.5,107,NA,134.5,NA,NA,2,NA,3139.9999999999995,1280,2764,NA,2,NA
1963,132,265,26,50,3,675.9509165492361,12,0.031007751937984496,64,822,201,90,28.300000000000004,213.5,111,122,122,122,2,3,2,3139.9999999999995,1280,2764,1,1,1
1964,151,289,11,26,3,55.93030421207548,10,0.05718954248366013,67,38,222,191,30,44,31,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1965,149,256,19,32.400000000000034,10,25.990948252835707,28,0.037037037037037035,60,308,196,122,57.1,98,74,NA,97,NA,NA,2,NA,3139.9999999999995,1280,2764,NA,1,NA
1966,196,212,12,28.5,NA,NA,NA,0.02631578947368421,80,345,132,93,38,81,39,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1967,176,287,22,37,NA,NA,NA,0.034782608695652174,78,864,209,167,43.6,169,42,66,115,66,1,4,1,3139.9999999999995,1280,2764,1,3,1
1968,193,273,11,29.80000000000001,4,55.97843812058848,60,0.046153846153846156,105,125,168,71,18,55,97,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1969,160,279,17,28,2,34.9971963876781,33,0.033112582781456956,127,1320,152,52,145.80000000000004,657.5,100,NA,116,116,NA,10,2,3139.9999999999995,1280,2764,NA,3,1
1970,182,232,16.5,35.900000000000006,3,50.99530430350737,15,0.02857142857142857,74,539,158,85,45.8,169,73,NA,107,NA,NA,1,NA,3139.9999999999995,1280,2764,NA,1,NA
1971,163,271,12,18,8,64.99308071819584,35,0.029411764705882353,72,72,199,151,43,72,48,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1972,125,278,8.2,22,3,43.00124341429581,42,0.05131578947368421,145,133,133,65,18,44,68,NA,NA,NA,NA,NA,NA,3139.9999999999995,1280,2764,NA,NA,NA
1973,204,235,24.5,59,2,137.94593376082585,14,0.028169014084507043,59,438,176,139,46,241,37,NA,132,NA,NA,7,NA,3139.9999999999995,1280,2764,NA,3,NA
1974,226,255,26,49,2,295.97800368541533,47,0.03333333333333333,68,1070,187,114,72,179,73,NA,151,NA,NA,2,NA,3139.9999999999995,1280,2764,NA,1,NA
