Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,3.4655737704918033,dry year
1964,223,180,1.3,2.4,1,100,11,96.6,0.52,0.7000000000000001,5,25,175,154,0,0.7,21,NA,113,NA,NA,1,NA,1276,750,1090,NA,1,NA,7.708196721311473,dry year
1965,201,217,2,7.670000000000002,2,67,29,65.7,0.5333333333333333,0.990625,5,64,212,174,0.3,1.6,38,NA,83,NA,NA,1,NA,1276,750,1090,NA,1,NA,18.430684931506843,mod year
1966,219,194,2.2,3.6,3,100,45,98,NA,NA,0,21,194,141,0.2,1,53,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,7.6265753424657525,dry year
1967,204,217,2.4,4.7,1,82,37,79.8,0.625,0.9171270718232044,28,181,189,141,0.4,2.2,48,NA,113,NA,NA,1,NA,1276,750,1090,NA,1,NA,26.541643835616426,wet year
1968,219,173,2.3,3.7,1,14,45,11.6,0.40298507462686567,0.7416666666666667,8,134,165,109,0.32500000000000007,1.4,56,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,6.914808743169398,dry year
1969,198,192,3,4.4,3,39,12,36.7,0.4328358208955224,0.8574468085106383,5,124,187,160,0.88,4.7,27,105,105,108,1,5,3,1276,750,1090,1,3,2,37.79230136986306,wet year
1970,234,164,2.8,4.7,1,36,15,33,0.4136111111111111,0.8936170212765957,9,144,155,130,0.33,2.5,25,NA,106,NA,NA,1,NA,1276,750,1090,NA,1,NA,15.465726027397281,mod year
1971,212,182,3.2,5.6,2,31,23,28.2,0.46511627906976744,0.875,5,136,177,144,0.44,1.9,33,NA,60,60,NA,1,1,1276,750,1090,NA,1,1,15.053397260273984,mod year
1972,185,212,3.1,4.8,4,12,17,8.9,0.5064102564102565,0.8250000000000001,5,48,207,178,0.4,1.2,29,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,7.933934426229511,dry year
1973,221,164,3.6,4.99,6,114,11,110.9,0.4727272727272728,0.915057915057915,5,259,159,127,1,12.5,32,NA,104,NA,NA,1,NA,1276,750,1090,NA,1,NA,29.172191780821947,wet year
1974,118,283,3.6,5,4,45,7,41.4,0.7336790251490797,0.903448275862069,2,133,281,261,1.3,3.9,20,NA,62,NA,NA,1,NA,1276,750,1090,NA,1,NA,23.301479452054785,wet year
1975,196,193,4.5,6.180000000000001,2,88,28,84.4,0.5077915376676987,0.8650793650793651,5,126,188,152,0.4660000000000001,2.9,36,NA,136,NA,NA,1,NA,1276,750,1090,NA,1,NA,20.28219178082193,mod year
1976,98,325,2.2,4.0200000000000005,2,68,10,63.5,0.4075641025641025,0.8181818181818182,5,55,320,296,1.3,3.8,24,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,6.244098360655737,dry year
1977,NA,219,0,0.004000000000000057,1,53,45,50.9,0.6666666666666666,0.9588235294117647,6,121,213,155,0,0.46499999999999997,58,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,2.642493150684931,dry year
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,39.733882783882734,wet year
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,32.41663299663303,wet year
1997,248,124,1.3,2.5400000000000036,1,94,29,92.2,0.44952153110047843,0.9477064220183486,6,1090,118,73,3.86,14,45,NA,93,118,NA,3,1,1276,750,1090,NA,3,1,27.25427397260275,wet year
1998,149,246,2.3,3.1,1,19,2,17.7,0.5039855072463768,0.8736842105263158,6,314,240,233,0.603,3.25,7,126,125,125,1,2,2,1276,750,1090,1,1,1,38.15082191780817,wet year
1999,215,195,1.9,2.5,1,182,24,179.7,0.535501066098081,0.8130434782608695,8,67,187,157,0.4210000000000001,3.1,30,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,13.667260273972607,mod year
2000,183,205,2.4,4.370000000000002,1,12,28,10.1,0.391304347826087,0.9320843091334895,5,427,200,155,0,2.4,45,116,126.5,116,1,2,1,1276,750,1090,1,2,1,30.06658469945357,wet year
2001,203,202,1.7,2.1,3,39,11,36.6,NA,NA,0,170,202,179,0.019000000000000024,2.5,23,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,12.337616438356166,mod year
2002,195,238,1.3650000000000002,2.075,1,82,30,80.3,0.30082178374566443,0.9313084112149533,6,318,232,192,0.8540000000000001,2.15,40,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,15.598876712328765,mod year
2003,77,331,0.96,2.029,2,263,39,261.63,0.32011331444759206,0.9597619047619048,5,210,326,258,0.258,1.73,68,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,14.793589041095892,mod year
2004,238,159,1.67,2.870000000000007,1,116,34,115.03,0.26275991963837264,0.8739977090492554,6,145,153,110,0.49,5.12,43,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,12.063907103825137,dry year
2005,199,226,1.49,2.6189999999999998,6,228,20,226.33,0.47383720930232553,0.8370165745856354,5,116,221,189,0.6880000000000001,3.115,32,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,21.056657534246575,wet year
2006,185,203,2.2350000000000003,2.82,1,55.7,56,54.2,0.41287458379578246,0.8322147651006712,5,149,198,138,1.198,11.9,60,92,92,92,1,1,1,1276,750,1090,1,1,1,29.61572602739725,wet year
2007,159,221,0.705,1.158999999999999,1,33.2,5,30.970000000000002,0.6890547263681591,0.8646464646464647,7,35,214,191,0,0.965,23,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,9.534356164383563,dry year
2008,242,152,0.21,0.92,1,73.8,10,73.09,0.3726315789473684,0.8120567375886525,5,141,147,132,0,1.26,15,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,11.872786885245901,dry year
2009,190,222,0,0.28,1,12.7,4,12.489999999999998,0.58,0.9112385321100918,8,97.5,214,185,0,0.58,29,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,11.042767123287673,dry year
2010,194,207,0,1.1499999999999997,1,488,13,488,0.7333333333333333,0.7886029411764706,5,102,202,155,0.035,1.6800000000000002,47,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,12.207068493150674,mod year
2011,218,182,0.3,3.5880000000000125,2,350,24,350,0.34647887323943666,0.741711229946524,7,552,175,139,0.21700000000000003,6.095000000000001,36,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,22.536657534246576,wet year
2012,181,214,0,0.8740000000000003,1,101,5,100.695,0.14788732394366194,0.9324797843665767,5,74.2,209,174,0,0.47,35,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,10.963196721311466,dry year
2013,239,191,0,0.5519999999999999,1,106,22,106,0.626254641714769,0.8559375,5,32,186,156,0,1.08,30,NA,63,63,NA,1,1,1276,750,1090,NA,1,1,12.87243835616439,mod year
2014,194,213,0,0,2,65.2,51,65.2,0.7766393442622951,1,6,66.4,207,142,0,0.08,65,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,8.962438356164393,dry year
2015,177,232,0,0,1,19.8,32,19.8,0.5714285714285715,0.9388429752066116,5,84.7,227,185,0,0.065,42,NA,73,NA,NA,1,NA,1276,750,1090,NA,1,NA,12.117643835616414,mod year
2016,178,210,0,1.1840000000000004,2,57.3,33,57.3,0.5081967213114753,0.7810256410256411,5,82.2,205,161,0.03300000000000004,2.29,44,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,13.156584699453546,mod year
2017,213,207,0,3.2110000000000074,1,70.4,14,70.4,0.6635116328860977,0.846439628482972,17,323,190,167,0.951,4.625,23,NA,101,NA,NA,2,NA,1276,750,1090,NA,2,NA,31.69616438356166,wet year
2018,161,242,0,0,1,46.1,40,46.1,0.6799999999999999,0.9104166666666668,5,48,237,182,0,1.39,55,NA,101,NA,NA,1,NA,1276,750,1090,NA,1,NA,14.587150684931517,mod year
2019,188,243,0,0,1,25.6,4,25.6,0.6905444126074498,0.90265780730897,12,301,231,193,0,1.4049999999999998,38,NA,149,NA,NA,1,NA,1276,750,1090,NA,1,NA,24.026328767123317,wet year
2020,201,235,0,0,2,25.7,59,25.7,0.6216216216216216,0.7757062146892655,5,25.8,230,164,0,0.7,66,NA,188,NA,NA,1,NA,1276,750,1090,NA,1,NA,8.361092896174863,dry year
2021,228,175,0,0.10800000000000154,2,117,49,117,0.4605263157894737,0.8244274809160306,5,65.5,170,99,0,3.37,71,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,5.765945205479465,dry year
2022,216,209,0,0.3980000000000007,2,128,22,128,0.5050091251504679,0.8542568542568543,6,74,203,165,0,0.885,38,24,24,24,1,2,1,1276,750,1090,1,1,1,17.777835616438324,mod year
2023,NA,185,0,0.61,2,198,39,198,0.46642820967333504,0.7900584795321638,6,220,179,119,0.21700000000000003,8.43,60,NA,92,NA,NA,1,NA,1276,750,1090,NA,1,NA,26.243068493150716,wet year
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1276,750,1090,NA,NA,NA,18.390314960629922,mod year
