Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,2.4590849673202615,mod year
1933,288,149,0,2.6,NA,NA,NA,0,NA,NA,0,4.4,149,42,1.6,14,107,NA,111,NA,NA,3,NA,2320,161,909,NA,1,NA,6.217205479452057,mod year
1934,141,254,0,4.0500000000000025,2,59,37,59,0.12464985994397756,0.44,5,15,249,177,0,0,72,NA,92,93,NA,2,1,2320,161,909,NA,1,1,5.194904109589034,mod year
1935,610,196,8,19,2,61,18,61,0.35702369995398064,0.6381909547738693,7,328,189,159,0.7599999999999995,8.5,30,NA,189,NA,NA,2,NA,2320,161,909,NA,1,NA,14.006868131868133,wet year
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,6.280825958702071,mod year
1937,607,199,18,23,NA,NA,NA,0,0.08396946564885496,0.24929971988795518,29,428,170,94,4.840000000000002,54,76,NA,108.5,NA,NA,34,NA,2320,161,909,NA,4,NA,49.422865013774135,wet year
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,19.85894039735099,wet year
1941,189,246,10,46.19999999999999,NA,NA,NA,0,0.06566262689855984,0.5985915492957746,51,545,195,119,0.29,74.5,76,NA,139,151,NA,66,5,2320,161,909,NA,3,4,114.96520547945222,wet year
1942,320,158,0,0,2,36,39,26,0.4642857142857143,0.5882352941176471,11,20,147,77,3.5,13,70,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,5.796712328767103,mod year
1943,250,194,26,43,NA,NA,NA,0,0.14285714285714285,0.5763888888888888,32,984,162,49,44.50000000000001,320.5,113,NA,115,116,NA,35,10,2320,161,909,NA,5,5,92.50438356164409,wet year
1944,187,189,0,0.9100000000000079,NA,NA,NA,0,0.12668179607716,0.9988235294117648,10,202,179,100,0,57,79,NA,143,148,NA,43,6,2320,161,909,NA,3,2,60.43326027397273,wet year
1945,289,157,0.1,5.5,1,16,3,16,1,1,4,170,153,142,0,0,11,NA,45,NA,NA,5,NA,2320,161,909,NA,3,NA,13.768767123287672,wet year
1946,92,324,0,41.999999999999986,NA,NA,NA,0,NA,NA,0,24,324,243,0,0,81,NA,84,NA,NA,2,NA,2320,161,909,NA,1,NA,7.007671232876706,mod year
1947,352,126,0,0.01,1,113,37,113,0.09375,0.1111111111111111,5,46,121,70,23,36,51,NA,45,NA,NA,11,NA,2320,161,909,NA,3,NA,21.634246575342516,wet year
1948,NA,212,0,0,NA,NA,NA,0,NA,NA,0,0.03,212,99,0,0.02,113,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,0.012595628415300512,dry year
1949,NA,191,NA,NA,NA,NA,NA,NA,NA,NA,0,0.03,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,0.003506849315068487,dry year
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,0,dry year
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,0,dry year
1952,328,117,0,0,NA,NA,NA,0,NA,NA,0,2550,117,12,0,35,105,117,115,116,1,3,2,2320,161,909,1,1,1,12.140710382513692,wet year
1953,259,209,0,0,NA,NA,NA,0,NA,NA,0,2.6,209,129,0,0,80,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,0.0942465753424657,dry year
1954,285,177,0,0,NA,NA,NA,0,0.3333333333333333,0.6,6,5,171,68,0,0.2,103,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,0.3397260273972594,dry year
1955,260,221,0,0,NA,NA,NA,0,0.64375,0.6875,2,1.6,219,122,0,0,97,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,0.02821917808219178,dry year
1956,246,222,0,0,NA,NA,NA,0,NA,NA,0,0.4,222,106,0,0,116,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,0.03469945355191257,dry year
1957,211,231,0,0,NA,NA,NA,0,NA,NA,0,0.2,231,128,0,0,103,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,0.03013698630136976,dry year
1958,206,256,0,0,NA,NA,NA,0,NA,NA,0,21,256,179,0,0,77,NA,185,185,NA,6,3,2320,161,909,NA,1,1,18.01698630136989,wet year
1959,NA,207,0,0,NA,NA,NA,0,NA,NA,0,0.1,207,110,0,0,97,NA,NA,NA,NA,NA,NA,2320,161,909,NA,NA,NA,0.006301369863013709,dry year
