Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2414,394,1516,NA,NA,NA,37.8421052631579,dry year
1912,304,260,27,93,NA,NA,NA,0,0.10843373493975904,0.40384615384615385,28,327,232,133,54,66,99,NA,NA,NA,NA,NA,NA,2414,394,1516,NA,NA,NA,63.85956284153007,mod year
1913,615,261,30,57,NA,NA,NA,0,0.075,0.4533333333333333,10,375,251,52,107,225,199,NA,NA,NA,NA,NA,NA,2414,394,1516,NA,NA,NA,75.54945054945046,mod year
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2414,394,1516,NA,NA,NA,22,dry year
1920,151,290,28.5,44.900000000000006,2,88,73,44,0.04878048780487805,0.22388059701492538,57,563,233,87,94.4,159.5,146,NA,211,NA,NA,26,NA,2414,394,1516,NA,1,NA,113.56830601092894,mod year
1921,182,276,22,40,NA,NA,NA,0,0.044816053511705686,0.31666666666666665,39,349,237,161,46,121,76,NA,NA,NA,NA,NA,NA,2414,394,1516,NA,NA,NA,76.34794520547939,mod year
1922,133,304,30,50.7,NA,NA,NA,0,0.04878048780487805,0.17777777777777778,77,951,227,134,45,116,93,NA,203,NA,NA,47,NA,2414,394,1516,NA,1,NA,181.21643835616413,wet year
1923,178,266,22,30,4,51,40,20,0.03980099502487562,0.1518987341772152,51,244,215,143,48.6,61,72,NA,188,NA,NA,1,NA,2414,394,1516,NA,1,NA,71.23835616438346,mod year
1924,225,230,1,27,NA,NA,NA,0,0.059027777777777776,0.2375,36,128,194,115,26,32,79,NA,NA,NA,NA,NA,NA,2414,394,1516,NA,NA,NA,20.91530054644805,dry year
1925,NA,243,35,40,2,61,41,60,0.03508771929824561,0.09090909090909091,27,106,216,126,27,45,90,NA,NA,NA,NA,NA,NA,2414,394,1516,NA,NA,NA,45.67671232876711,dry year
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2414,394,1516,NA,NA,NA,31.890109890109883,dry year
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2414,394,1516,NA,NA,NA,232.5274725274728,wet year
1930,180,269,10,17,NA,NA,NA,0,0.05185185185185185,0.12195121951219512,39,186,230,88,36,151,142,NA,NA,NA,NA,NA,NA,2414,394,1516,NA,NA,NA,52.19397260273986,mod year
